NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5
2021;Sudeste;SP;3500105;Adamantina;Total;Total;66,2;0,0;20,4;0,0;13,4;81,1;1,0;16,0;0,0;1,9;85,9;0,6;11,3;0,0;2,2;72,4;1,7;24,5;0,0;1,4;63,4;1,5;34,2;0,5;0,4
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;66,2;0,0;20,4;0,0;13,4;80,9;1,0;16,2;0,0;1,9;85,7;0,6;11,5;0,0;2,2;72,4;1,7;24,5;0,0;1,4;65,2;1,6;32,2;0,5;0,5
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;--;--;--;--;--;100,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;--;--;--;--;--;34,3;0,0;65,7;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;--;--;--;--;--;77,7;1,5;20,8;0,0;0,0;--;--;--;--;--;77,7;1,5;20,8;0,0;0,0;61,9;0,6;37,5;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;--;--;--;--;--;77,7;1,5;20,8;0,0;0,0;--;--;--;--;--;77,7;1,5;20,8;0,0;0,0;64,1;0,7;35,2;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;34,3;0,0;65,7;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;71,0;0,0;12,0;0,0;17,0;92,9;0,0;7,1;0,0;0,0;92,9;0,0;7,1;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;71,0;0,0;12,0;0,0;17,0;92,6;0,0;7,4;0,0;0,0;92,6;0,0;7,4;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;--;--;--;--;--;100,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;54,8;0,0;40,5;0,0;4,7;72,6;1,6;21,3;0,0;4,5;76,6;1,4;16,8;0,0;5,2;65,7;1,9;29,0;0,0;3,4;68,7;4,5;22,4;2,2;2,2
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;54,8;0,0;40,5;0,0;4,7;72,6;1,6;21,3;0,0;4,5;76,6;1,4;16,8;0,0;5,2;65,7;1,9;29,0;0,0;3,4;68,7;4,5;22,4;2,2;2,2
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;71,0;0,0;12,0;0,0;17,0;87,5;0,5;12,0;0,0;0,0;92,9;0,0;7,1;0,0;0,0;77,7;1,5;20,8;0,0;0,0;61,9;0,6;37,5;0,0;0,0
