NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0
2021;Sudeste;SP;3500105;Adamantina;Total;Total;15,0;23,4;30,7
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;15,0;23,6;31,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;--;4,5;26,7
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;--;33,1;31,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;--;33,1;31,4
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;--;--;26,7
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;15,7;19,1;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;15,7;19,5;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;--;4,5;--
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;12,2;22,8;29,3
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;12,2;22,8;29,3
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;15,7;23,7;31,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;15,7;24,0;31,4
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;--;4,5;26,7
2021;Sudeste;SP;3500204;Adolfo;Total;Total;13,0;20,5;24,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;13,0;20,5;24,0
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;--;--;24,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;--;--;24,0
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;13,7;20,5;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;13,7;20,5;--
2021;Sudeste;SP;3500204;Adolfo;Total;Privada;12,3;--;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Privada;12,3;--;--
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;13,7;20,5;24,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;13,7;20,5;24,0
2021;Sudeste;SP;3500303;Aguaí;Total;Total;15,9;23,2;29,8
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;15,8;23,5;29,8
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;26,0;13,0;--
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;--;30,0;31,7
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;--;30,0;31,7
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;16,9;21,8;--
2021;Sudeste;SP;3500303;Aguaí;Urbana;Municipal;16,7;22,2;--
2021;Sudeste;SP;3500303;Aguaí;Rural;Municipal;26,0;13,0;--
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;9,7;16,6;9,3
2021;Sudeste;SP;3500303;Aguaí;Urbana;Privada;9,7;16,6;9,3
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;16,9;24,0;31,7
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;16,7;24,4;31,7
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;26,0;13,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;17,2;21,0;28,8
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;18,4;22,1;28,8
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;14,6;17,9;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;--;23,0;28,8
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;--;23,0;28,8
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;17,2;19,9;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;18,4;21,2;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;14,6;17,9;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;17,2;21,0;28,8
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;18,4;22,1;28,8
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Pública;14,6;17,9;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;13,0;20,4;23,2
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;13,0;20,4;23,2
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Estadual;--;20,1;25,6
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Estadual;--;20,1;25,6
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Municipal;13,8;21,7;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Municipal;13,8;21,7;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;8,6;11,0;8,3
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Privada;8,6;11,0;8,3
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;13,8;21,4;25,6
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Pública;13,8;21,4;25,6
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;12,3;22,2;26,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;12,3;22,2;26,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;--;27,3;26,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;--;27,3;26,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;12,3;19,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;12,3;19,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;12,3;22,2;26,3
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;12,3;22,2;26,3
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;12,5;19,9;30,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;12,5;19,9;30,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;--;--;30,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;--;--;30,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;12,5;19,9;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;12,5;19,9;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;12,5;19,9;30,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;12,5;19,9;30,0
2021;Sudeste;SP;3500709;Agudos;Total;Total;15,8;25,7;27,2
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;15,3;25,7;27,2
2021;Sudeste;SP;3500709;Agudos;Rural;Total;21,0;--;--
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;--;31,9;30,7
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;--;31,9;30,7
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;16,6;21,9;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;16,1;21,9;--
2021;Sudeste;SP;3500709;Agudos;Rural;Municipal;21,0;--;--
2021;Sudeste;SP;3500709;Agudos;Total;Privada;11,1;27,8;16,8
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;11,1;27,8;16,8
2021;Sudeste;SP;3500709;Agudos;Total;Pública;16,6;25,3;30,7
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;16,1;25,3;30,7
2021;Sudeste;SP;3500709;Agudos;Rural;Pública;21,0;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Total;12,6;19,5;27,9
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;14,5;21,0;27,9
2021;Sudeste;SP;3500758;Alambari;Rural;Total;8,5;14,1;--
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;--;28,4;27,9
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;--;28,4;27,9
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;12,6;15,7;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;14,5;16,4;--
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;8,5;14,1;--
2021;Sudeste;SP;3500758;Alambari;Total;Pública;12,6;19,5;27,9
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;14,5;21,0;27,9
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;8,5;14,1;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;19,4;23,5;19,2
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;19,4;23,5;19,2
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;--;23,5;19,2
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;--;23,5;19,2
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Municipal;19,4;--;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Municipal;19,4;--;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;19,4;23,5;19,2
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;19,4;23,5;19,2
2021;Sudeste;SP;3500907;Altair;Total;Total;10,5;21,5;38,0
2021;Sudeste;SP;3500907;Altair;Urbana;Total;10,5;21,5;38,0
2021;Sudeste;SP;3500907;Altair;Total;Estadual;--;25,9;38,0
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;--;25,9;38,0
2021;Sudeste;SP;3500907;Altair;Total;Municipal;10,5;18,8;--
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;10,5;18,8;--
2021;Sudeste;SP;3500907;Altair;Total;Pública;10,5;21,5;38,0
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;10,5;21,5;38,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;15,4;24,4;26,3
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;15,4;24,5;26,3
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;--;22,2;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Estadual;--;29,9;32,6
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;--;29,9;32,6
2021;Sudeste;SP;3501004;Altinópolis;Total;Municipal;17,0;27,2;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;17,0;27,8;--
2021;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;--;22,2;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;7,5;13,3;11,5
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;7,5;13,3;11,5
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;17,0;27,7;32,6
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;17,0;28,2;32,6
2021;Sudeste;SP;3501004;Altinópolis;Rural;Pública;--;22,2;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;13,8;23,0;17,5
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;13,8;23,0;17,5
2021;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;--;27,3;17,5
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;--;27,3;17,5
2021;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;13,8;20,4;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;13,8;20,4;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;13,8;23,0;17,5
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;13,8;23,0;17,5
2021;Sudeste;SP;3501152;Alumínio;Total;Total;15,2;24,3;35,3
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;15,0;24,6;35,3
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;17,0;20,9;--
2021;Sudeste;SP;3501152;Alumínio;Total;Estadual;--;--;36,7
2021;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;--;--;36,7
2021;Sudeste;SP;3501152;Alumínio;Total;Municipal;15,2;22,6;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;15,0;22,8;--
2021;Sudeste;SP;3501152;Alumínio;Rural;Municipal;17,0;20,9;--
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;--;32,0;31,7
