NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6
2021;Sudeste;SP;3500105;Adamantina;Total;Total;27,6;7,6;30,7;26,5;5,5;2,1;47,8;3,7;25,0;19,1;3,7;0,7;0,7;9,7;37,3;39,6;9,0;3,7;0,7;10,2;26,1;49,0;10,2;3,8
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;27,4;7,6;30,8;26,6;5,5;2,1;47,4;3,7;25,2;19,3;3,7;0,7;0,7;9,7;37,3;39,6;9,0;3,7;0,0;10,1;27,7;47,3;10,8;4,1
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;20,0;0,0;0,0;60,0;20,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;--;--;--;--;--;--;5,8;5,9;5,9;64,7;5,9;11,8
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;0,0;11,9;31,0;46,4;7,1;3,6;--;--;--;--;--;--;0,0;11,9;31,0;46,4;7,1;3,6;0,8;5,0;24,8;56,2;9,1;4,1
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;0,0;11,9;31,0;46,4;7,1;3,6;--;--;--;--;--;--;0,0;11,9;31,0;46,4;7,1;3,6;0,0;4,4;26,8;54,5;9,8;4,5
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5,8;5,9;5,9;64,7;5,9;11,8
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;69,6;1,3;11,4;13,9;3,8;0,0;69,6;1,3;11,4;13,9;3,8;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;69,3;1,3;11,5;14,1;3,8;0,0;69,3;1,3;11,5;14,1;3,8;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;20,0;0,0;0,0;60,0;20,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;12,5;8,0;47,7;22,7;6,8;2,3;16,4;6,6;47,5;24,6;3,3;1,6;1,9;5,8;46,2;30,8;11,5;3,8;0,0;25,0;27,5;25,0;17,5;5,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;12,5;8,0;47,7;22,7;6,8;2,3;16,4;6,6;47,5;24,6;3,3;1,6;1,9;5,8;46,2;30,8;11,5;3,8;0,0;25,0;27,5;25,0;17,5;5,0
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;35,0;7,0;22,3;29,3;4,5;1,9;69,6;1,3;11,4;13,9;3,8;0,0;0,0;11,9;31,0;46,4;7,1;3,6;0,8;5,0;24,8;56,2;9,1;4,1
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;34,6;7,1;22,4;29,5;4,5;1,9;69,3;1,3;11,5;14,1;3,8;0,0;0,0;11,9;31,0;46,4;7,1;3,6;0,0;4,4;26,8;54,5;9,8;4,5
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;20,0;0,0;0,0;60,0;20,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;--;--;--;--;--;--;5,8;5,9;5,9;64,7;5,9;11,8
2021;Sudeste;SP;3500204;Adolfo;Total;Total;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;0,0;0,0;13,3;20,0;46,7;20,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;0,0;0,0;13,3;20,0;46,7;20,0
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;13,3;20,0;46,7;20,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;13,3;20,0;46,7;20,0
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;--;--;--;--;--;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;--;--;--;--;--;--
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;0,0;0,0;13,3;20,0;46,7;20,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;0,0;0,0;13,3;20,0;46,7;20,0
2021;Sudeste;SP;3500303;Aguaí;Total;Total;28,6;5,6;24,2;30,3;9,1;2,2;47,3;4,7;20,5;18,1;6,3;3,1;5,0;5,7;26,2;43,4;16,4;3,3;0,0;2,9;26,7;53,5;14,9;2,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;27,7;5,7;24,7;30,4;9,3;2,2;46,3;4,9;21,1;17,9;6,5;3,3;5,0;5,7;26,2;43,4;16,4;3,3;0,0;2,9;26,7;53,5;14,9;2,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;42,8;0,0;14,3;42,9;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;5,5;6,7;18,9;47,8;20,0;1,1;33,3;33,3;16,7;0,0;16,7;0,0;1,3;2,5;19,0;54,4;21,5;1,3;0,0;2,2;22,2;56,7;16,7;2,2
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;5,5;6,7;18,9;47,8;20,0;1,1;33,3;33,3;16,7;0,0;16,7;0,0;1,3;2,5;19,0;54,4;21,5;1,3;0,0;2,2;22,2;56,7;16,7;2,2
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;42,1;2,5;23,5;21,0;6,7;4,2;49,0;1,0;20,6;19,6;5,9;3,9;0,0;8,8;30,4;30,4;17,4;13,0;--;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Urbana;Municipal;40,9;2,6;24,3;20,9;7,0;4,3;48,0;1,0;21,4;19,4;6,1;4,1;0,0;8,8;30,4;30,4;17,4;13,0;--;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Rural;Municipal;42,8;0,0;14,3;42,9;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;26,2;9,5;35,7;26,2;2,4;0,0;40,0;6,7;33,3;20,0;0,0;0,0;16,1;9,7;38,7;32,3;3,2;0,0;0,0;8,4;58,3;33,3;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Privada;26,2;9,5;35,7;26,2;2,4;0,0;40,0;6,7;33,3;20,0;0,0;0,0;16,1;9,7;38,7;32,3;3,2;0,0;0,0;8,4;58,3;33,3;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;27,9;4,5;21,7;33,3;10,1;2,5;47,8;4,4;19,5;17,7;7,1;3,5;1,1;4,1;21,6;49,5;19,6;4,1;0,0;2,2;22,2;56,7;16,7;2,2
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;26,8;4,6;22,2;33,5;10,3;2,6;46,8;4,6;20,2;17,4;7,3;3,7;1,1;4,1;21,6;49,5;19,6;4,1;0,0;2,2;22,2;56,7;16,7;2,2
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;42,8;0,0;14,3;42,9;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;26,9;15,4;9,6;38,5;5,8;3,8;44,4;11,1;5,6;22,2;11,1;5,6;16,3;16,2;10,8;43,2;8,1;5,4;0,0;23,1;0,0;76,9;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;18,6;16,3;11,6;44,2;7,0;2,3;42,9;14,3;7,1;21,4;14,3;0,0;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;54,5;9,1;0,0;9,1;18,2;9,1;40,0;0,0;0,0;20,0;20,0;20,0;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;7,0;17,2;13,8;55,2;3,4;3,4;--;--;--;--;--;--;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;7,0;17,2;13,8;55,2;3,4;3,4;--;--;--;--;--;--;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;52,3;13,0;4,3;17,4;8,7;4,3;44,4;11,1;5,6;22,2;11,1;5,6;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;42,9;14,3;7,1;21,4;14,3;0,0;42,9;14,3;7,1;21,4;14,3;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;54,5;9,1;0,0;9,1;18,2;9,1;40,0;0,0;0,0;20,0;20,0;20,0;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;26,9;15,4;9,6;38,5;5,8;3,8;44,4;11,1;5,6;22,2;11,1;5,6;16,3;16,2;10,8;43,2;8,1;5,4;0,0;23,1;0,0;76,9;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;18,6;16,3;11,6;44,2;7,0;2,3;42,9;14,3;7,1;21,4;14,3;0,0;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Pública;54,5;9,1;0,0;9,1;18,2;9,1;40,0;0,0;0,0;20,0;20,0;20,0;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;18,5;8,6;29,8;31,1;6,0;6,0;27,2;5,2;28,6;31,2;1,3;6,5;7,3;9,3;28,9;38,1;8,2;8,2;3,7;5,7;41,5;30,2;5,7;13,2
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;18,5;8,6;29,8;31,1;6,0;6,0;27,2;5,2;28,6;31,2;1,3;6,5;7,3;9,3;28,9;38,1;8,2;8,2;3,7;5,7;41,5;30,2;5,7;13,2
