NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4
2021;Sudeste;SP;3500105;Adamantina;Total;Total;7,4;29,6;40,7;22,3
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;8,0;28,0;40,0;24,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;0,0;60,0;40,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;0,0;75,0;25,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;6,7;26,7;46,7;19,9
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;7,1;21,4;50,0;21,5
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;14,3;14,3;28,6;42,8
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;14,3;14,3;28,6;42,8
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;5,0;35,0;45,0;15,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;5,6;33,3;44,4;16,7
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Total;0,0;25,0;50,0;25,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;0,0;25,0;50,0;25,0
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;0,0;0,0;50,0;50,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;0,0;0,0;50,0;50,0
2021;Sudeste;SP;3500204;Adolfo;Total;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;0,0;33,3;33,3;33,4
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;0,0;33,3;33,3;33,4
2021;Sudeste;SP;3500303;Aguaí;Total;Total;4,0;16,0;64,0;16,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;4,2;16,7;66,7;12,4
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;0,0;40,0;60,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;0,0;40,0;60,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;6,3;12,5;56,3;24,9
2021;Sudeste;SP;3500303;Aguaí;Urbana;Municipal;6,7;13,3;60,0;20,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Municipal;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;4,8;19,0;57,1;19,1
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;5,0;20,0;60,0;15,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;12,5;25,0;62,5;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;20,0;40,0;40,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;16,7;0,0;83,3;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;33,3;0,0;66,7;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;12,5;25,0;62,5;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;20,0;40,0;40,0;0,0
