NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_0;FUN_AI_CAT_0;FUN_AF_CAT_0;FUN_01_CAT_0;FUN_02_CAT_0;FUN_03_CAT_0;FUN_04_CAT_0;FUN_05_CAT_0;FUN_06_CAT_0;FUN_07_CAT_0;FUN_08_CAT_0;FUN_09_CAT_0;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0
2021;Sudeste;SP;3500105;Adamantina;Total;Total;3,1;1,9;4,5;0,5;0,8;1,4;3,3;3,2;2,3;5,5;5,1;5,0;6,9;9,0;6,0;5,6;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;3,1;1,9;4,5;0,6;0,5;1,4;3,3;3,2;2,3;5,5;5,1;5,0;6,7;8,5;6,1;5,3;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;11,1;11,1;--;0,0;25,0;--;--;--;--;--;--;--;11,3;18,5;3,3;13,0;--
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;6,3;--;6,3;--;--;--;--;--;3,4;8,2;6,7;6,9;8,0;10,8;7,0;6,0;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;6,3;--;6,3;--;--;--;--;--;3,4;8,2;6,7;6,9;7,8;10,3;7,2;5,5;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;11,3;18,5;3,3;13,0;--
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;2,4;2,4;--;0,4;0,8;1,2;4,9;4,4;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;2,3;2,3;--;0,4;0,4;1,2;4,9;4,4;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;11,1;11,1;--;0,0;25,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;1,0;0,8;1,1;0,9;0,9;1,8;0,0;0,7;0,6;0,6;2,4;0,8;1,9;0,0;1,2;4,3;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;1,0;0,8;1,1;0,9;0,9;1,8;0,0;0,7;0,6;0,6;2,4;0,8;1,9;0,0;1,2;4,3;--
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;4,2;2,4;6,3;0,4;0,8;1,2;4,9;4,4;3,4;8,2;6,7;6,9;8,0;10,8;7,0;6,0;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;4,2;2,3;6,3;0,4;0,4;1,2;4,9;4,4;3,4;8,2;6,7;6,9;7,8;10,3;7,2;5,5;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;11,1;11,1;--;0,0;25,0;--;--;--;--;--;--;--;11,3;18,5;3,3;13,0;--
2021;Sudeste;SP;3500204;Adolfo;Total;Total;9,2;4,1;16,0;0,0;0,0;0,0;8,9;12,5;19,6;14,0;19,3;11,5;14,6;15,7;18,4;9,1;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;9,2;4,1;16,0;0,0;0,0;0,0;8,9;12,5;19,6;14,0;19,3;11,5;14,6;15,7;18,4;9,1;--
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;14,6;15,7;18,4;9,1;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;14,6;15,7;18,4;9,1;--
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;9,2;4,1;16,0;0,0;0,0;0,0;8,9;12,5;19,6;14,0;19,3;11,5;--;--;--;--;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;9,2;4,1;16,0;0,0;0,0;0,0;8,9;12,5;19,6;14,0;19,3;11,5;--;--;--;--;--
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;9,2;4,1;16,0;0,0;0,0;0,0;8,9;12,5;19,6;14,0;19,3;11,5;14,6;15,7;18,4;9,1;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;9,2;4,1;16,0;0,0;0,0;0,0;8,9;12,5;19,6;14,0;19,3;11,5;14,6;15,7;18,4;9,1;--
