NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT1_CATFUN;1_CAT1_CATMED;1_CAT2_CATFUN;1_CAT2_CATMED;1_CAT3_CATFUN;1_CAT3_CATMED
2021;Sudeste;SP;3500105;Adamantina;Total;Total;99,7;95,8;0,1;1,4;0,2;0,6
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;99,6;95,0;0,1;1,6;0,2;0,7
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;99,8;99,2;0,1;0,4;0,1;0,4
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;99,7;96,0;0,1;1,2;0,1;0,5
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;83,3;91,9;0,0;5,4;16,7;2,7
2021;Sudeste;SP;3500204;Adolfo;Total;Total;98,4;97,0;1,0;0,8;0,6;2,2
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;98,4;97,0;1,0;0,8;0,6;2,2
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;98,4;97,0;1,0;0,8;0,6;2,2
2021;Sudeste;SP;3500303;Aguaí;Total;Total;98,9;95,3;0,5;1,6;0,4;0,9
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;98,8;95,2;0,6;1,5;0,5;0,9
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;100,0;97,1;0,0;2,9;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;98,9;95,3;0,5;1,6;0,4;0,9
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;99,4;97,5;0,2;0,8;0,4;1,7
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;99,4;97,5;0,2;0,8;0,4;1,7
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;99,2;97,5;0,2;0,8;0,6;1,7
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;91,8;91,4;6,0;5,1;1,5;1,5
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;91,4;90,7;6,3;5,5;1,5;1,6
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;91,8;91,4;6,0;5,1;1,5;1,5
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;99,3;97,5;0,5;1,0;0,2;1,5
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;99,3;97,5;0,5;1,0;0,2;1,5
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;99,3;97,5;0,5;1,0;0,2;1,5
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;97,7;95,6;2,0;1,8;0,3;2,6
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;97,7;95,6;2,0;1,8;0,3;2,6
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;97,7;95,6;2,0;1,8;0,3;2,6
2021;Sudeste;SP;3500709;Agudos;Total;Total;98,4;96,5;0,7;1,5;0,9;1,9
2021;Sudeste;SP;3500709;Agudos;Total;Pública;98,3;96,0;0,7;1,7;1,0;2,2
2021;Sudeste;SP;3500709;Agudos;Total;Privada;98,8;99,0;0,7;0,5;0,5;0,5
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;98,4;96,5;0,7;1,5;0,9;1,9
2021;Sudeste;SP;3500758;Alambari;Total;Total;99,3;99,6;0,0;0,4;0,6;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Pública;99,3;99,6;0,0;0,4;0,6;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;99,7;99,6;0,0;0,4;0,2;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Total;97,4;--;0,0;--;2,6;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;98,4;95,0;1,3;2,5;0,3;2,5
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;98,4;95,0;1,3;2,5;0,3;2,5
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;98,4;95,0;1,3;2,5;0,3;2,5
2021;Sudeste;SP;3500907;Altair;Total;Total;99,3;95,9;0,5;1,6;0,2;1,6
2021;Sudeste;SP;3500907;Altair;Total;Pública;99,3;95,9;0,5;1,6;0,2;1,6
2021;Sudeste;SP;3500907;Altair;Urbana;Total;99,3;95,9;0,5;1,6;0,2;1,6
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;98,8;96,5;0,3;0,0;0,5;3,1
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;98,7;96,0;0,3;0,0;0,6;3,5
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;98,7;96,5;0,3;0,0;0,6;3,1
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;98,9;96,9;0,6;0,0;0,5;3,1
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;98,9;96,9;0,6;0,0;0,5;3,1
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;98,9;96,9;0,6;0,0;0,5;3,1
2021;Sudeste;SP;3501152;Alumínio;Total;Total;99,3;94,0;0,2;0,1;0,2;3,6
2021;Sudeste;SP;3501152;Alumínio;Total;Pública;99,1;91,9;0,2;0,2;0,3;4,8
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;99,3;94,0;0,1;0,1;0,2;3,6
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;98,9;--;0,6;--;0,5;--
2021;Sudeste;SP;3501202;Álvares Florence;Total;Total;97,4;96,0;0,8;0,0;1,8;4,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Pública;97,4;96,0;0,8;0,0;1,8;4,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;97,4;96,0;0,8;0,0;1,8;4,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;98,8;96,2;0,3;1,4;0,8;1,7
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;98,4;94,9;0,4;1,9;1,1;2,3
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;99,9;100,0;0,1;0,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;98,8;96,2;0,3;1,4;0,8;1,7
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;99,1;100,0;0,5;0,0;0,4;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;99,1;100,0;0,5;0,0;0,4;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;99,1;100,0;0,5;0,0;0,4;0,0
