NU_ANO_CENSO;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2021;35;SP;São Paulo;3500105;Adamantina;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500105;Adamantina;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500105;Adamantina;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500105;Adamantina;2;0;2;461;5,61;0,22;1,78;4,99;11,62;25,95;27,77;23,21;4,46
2021;35;SP;São Paulo;3500105;Adamantina;2;1;2;443;5,6;0,23;1,84;5,17;11,84;25,68;27,98;22,63;4,63
2021;35;SP;São Paulo;3500105;Adamantina;2;2;2;18;5,75;0;0;0;5,56;33,33;22,22;38,89;0
2021;35;SP;São Paulo;3500105;Adamantina;3;0;2;218;5,34;0,81;1,82;5,82;20,31;32,5;25,02;12,52;1,2
2021;35;SP;São Paulo;3500105;Adamantina;3;1;2;218;5,34;0,81;1,82;5,82;20,31;32,5;25,02;12,52;1,2
2021;35;SP;São Paulo;3500105;Adamantina;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500105;Adamantina;5;0;2;679;5,53;0,4;1,79;5,23;14,21;27,9;26,95;20,03;3,49
2021;35;SP;São Paulo;3500105;Adamantina;5;1;2;661;5,52;0,41;1,84;5,37;14,43;27,76;27,07;19,54;3,58
2021;35;SP;São Paulo;3500105;Adamantina;5;2;2;18;5,75;0;0;0;5,56;33,33;22,22;38,89;0
2021;35;SP;São Paulo;3500105;Adamantina;6;0;2;679;5,53;0,4;1,79;5,23;14,21;27,9;26,95;20,03;3,49
2021;35;SP;São Paulo;3500105;Adamantina;6;1;2;661;5,52;0,41;1,84;5,37;14,43;27,76;27,07;19,54;3,58
