NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;4_CAT_FUN;4_CAT_MED
2021;Sudeste;SP;3500105;Adamantina;Total;Total;0,4;1,1
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;0,4;1,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;0,0;2,6
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;0,5;1,1
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;0,5;1,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;--;2,6
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;0,5;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;0,5;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;0,0;--
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;0,2;1,2
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;0,2;1,2
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;0,5;1,1
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;0,5;1,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;0,0;2,6
2021;Sudeste;SP;3500204;Adolfo;Total;Total;1,0;1,4
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;1,0;1,4
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;--;1,4
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;--;1,4
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;1,0;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;1,0;--
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;1,0;1,4
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;1,0;1,4
2021;Sudeste;SP;3500303;Aguaí;Total;Total;1,0;4,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;0,9;4,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;4,1;--
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;1,8;4,1
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;1,8;4,1
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;0,7;--
