NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_LOCALIZACAO;NO_DEPENDENCIA;FUN_TX_PROMOCAO_TOTAL;MED_TX_PROMOCAO_TOTAL;FUN_TX_REPETENCIA_TOTAL;MED_TX_REPETENCIA_TOTAL;FUN_TX_EVASAO_TOTAL;MED_TX_EVASAO_TOTAL
2013;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Total;82.4;77.9;13.9;8.2;2.5;10.5
2013;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Pública;82.3;77.9;14;8.2;2.5;10.5
2013;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Privada;96.7;--;0;--;3.3;--
2013;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Total;82;77.9;14.3;8.2;2.1;10.5
2013;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Total;83.1;--;13.4;--;3;--
2013;Norte;RO;1100023;Ariquemes;Total;Total;85.9;70.1;9.4;11.1;2.8;11.5
2013;Norte;RO;1100023;Ariquemes;Total;Pública;84.9;68.6;10;11.6;3;12.1
2013;Norte;RO;1100023;Ariquemes;Total;Privada;96.5;95.9;2.9;3.3;0.4;0.8
2013;Norte;RO;1100023;Ariquemes;Urbana;Total;86.3;67.8;9.2;11.7;2.6;12.6
2013;Norte;RO;1100023;Ariquemes;Rural;Total;83.5;88.2;10.6;6.6;4;3.3
2013;Norte;RO;1100031;Cabixi;Total;Total;88.8;87.8;8.3;5.2;1.4;5.2
2013;Norte;RO;1100031;Cabixi;Total;Pública;88.8;87.8;8.3;5.2;1.4;5.2
2013;Norte;RO;1100031;Cabixi;Urbana;Total;88.2;88.4;8.9;4.3;1.3;5.6
2013;Norte;RO;1100031;Cabixi;Rural;Total;92.7;83.8;4.1;10.8;2.4;2.7
2013;Norte;RO;1100049;Cacoal;Total;Total;89.9;77.4;6.9;10.2;2.3;8.1
2013;Norte;RO;1100049;Cacoal;Total;Pública;88.5;72.7;7.8;12.3;2.6;9.6
2013;Norte;RO;1100049;Cacoal;Total;Privada;98.2;95;1.3;2.2;0.4;2.3
2013;Norte;RO;1100049;Cacoal;Urbana;Total;89.5;76.4;7.4;10.6;2;8.5
2013;Norte;RO;1100049;Cacoal;Rural;Total;91.6;98.1;4.7;1.3;3.3;0.6
2013;Norte;RO;1100056;Cerejeiras;Total;Total;84.6;76.9;10.9;8.8;2.4;7.4
2013;Norte;RO;1100056;Cerejeiras;Total;Pública;84.2;76.5;11.2;9.1;2.4;7.5
2013;Norte;RO;1100056;Cerejeiras;Total;Privada;100;90.9;0;0;0;4.5
2013;Norte;RO;1100056;Cerejeiras;Urbana;Total;84.1;76.9;11.4;8.8;2.3;7.4
2013;Norte;RO;1100056;Cerejeiras;Rural;Total;89.2;--;7.1;--;2.7;--
2013;Norte;RO;1100064;Colorado do Oeste;Total;Total;90.8;86;5.9;5.8;1.4;5.1
2013;Norte;RO;1100064;Colorado do Oeste;Total;Pública;90.7;86;5.9;5.8;1.4;5.1
2013;Norte;RO;1100064;Colorado do Oeste;Total;Privada;95.7;--;4.3;--;0;--
2013;Norte;RO;1100064;Colorado do Oeste;Urbana;Total;90.6;82.4;6;5.4;1.3;7.3
2013;Norte;RO;1100064;Colorado do Oeste;Rural;Total;91.4;91.4;5.6;6.3;1.9;1.8
2013;Norte;RO;1100072;Corumbiara;Total;Total;82.9;80.6;13.1;5.9;3.3;11.5
2013;Norte;RO;1100072;Corumbiara;Total;Pública;82.9;80.6;13.1;5.9;3.3;11.5
2013;Norte;RO;1100072;Corumbiara;Urbana;Total;90.4;77.8;6;6.4;3;12.8
2013;Norte;RO;1100072;Corumbiara;Rural;Total;78.3;84.7;17.6;5.1;3.5;9.6
2013;Norte;RO;1100080;Costa Marques;Total;Total;77.4;67.7;16.7;17.4;4.4;12.1
2013;Norte;RO;1100080;Costa Marques;Total;Pública;77.4;67.7;16.7;17.4;4.4;12.1
2013;Norte;RO;1100080;Costa Marques;Urbana;Total;81.1;73.9;13.9;12.2;2.7;10.6
2013;Norte;RO;1100080;Costa Marques;Rural;Total;72.9;57.8;20.2;25.7;6.4;14.6
2013;Norte;RO;1100098;Espigão D'Oeste;Total;Total;87.7;77.7;7.9;7.3;3.2;12.1
2013;Norte;RO;1100098;Espigão D'Oeste;Total;Pública;87.3;76.8;8.1;7.6;3.2;12.7
2013;Norte;RO;1100098;Espigão D'Oeste;Total;Privada;98;98.2;0.7;1.8;1.3;0
2013;Norte;RO;1100098;Espigão D'Oeste;Urbana;Total;87.5;77.7;8.3;7.3;2.6;12.1
2013;Norte;RO;1100098;Espigão D'Oeste;Rural;Total;87.9;--;7.1;--;4.5;--
2013;Norte;RO;1100106;Guajará-Mirim;Total;Total;78.9;77.6;16.4;9.3;3;8.9
2013;Norte;RO;1100106;Guajará-Mirim;Total;Pública;77.5;76.8;17.5;9.2;3.2;9.5
2013;Norte;RO;1100106;Guajará-Mirim;Total;Privada;96.5;87.4;3;10.1;0.1;0.8
2013;Norte;RO;1100106;Guajará-Mirim;Urbana;Total;81.3;77.6;14.6;9.3;2.1;8.9
2013;Norte;RO;1100106;Guajará-Mirim;Rural;Total;69.6;--;23.5;--;6.3;--
2013;Norte;RO;1100114;Jaru;Total;Total;83.7;69.1;12;13.6;2.4;8.4
2013;Norte;RO;1100114;Jaru;Total;Pública;83.1;68.3;12.5;13.9;2.5;8.6
2013;Norte;RO;1100114;Jaru;Total;Privada;98.3;100;1.4;0;0.3;0
2013;Norte;RO;1100114;Jaru;Urbana;Total;83.5;67.4;12.2;14.6;2.2;8.8
2013;Norte;RO;1100114;Jaru;Rural;Total;84.3;74.3;11.5;10.5;3;7.2
2013;Norte;RO;1100122;Ji-Paraná;Total;Total;82.8;71;12;11.7;2.9;9.1
2013;Norte;RO;1100122;Ji-Paraná;Total;Pública;81.7;69.7;12.8;12.1;3;9.5
2013;Norte;RO;1100122;Ji-Paraná;Total;Privada;95.4;91.2;3.7;5.3;0.8;2.8
2013;Norte;RO;1100122;Ji-Paraná;Urbana;Total;83.3;70.1;11.5;12;2.6;9.2
2013;Norte;RO;1100122;Ji-Paraná;Rural;Total;79.3;83.2;15.7;7.4;4.4;7.6
2013;Norte;RO;1100130;Machadinho D'Oeste;Total;Total;80.3;72;14.4;8.5;3.6;12.2
2013;Norte;RO;1100130;Machadinho D'Oeste;Total;Pública;80.2;72;14.4;8.5;3.6;12.2
2013;Norte;RO;1100130;Machadinho D'Oeste;Total;Privada;90;--;10;--;0;--
2013;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Total;83;71.7;12.5;8.9;2.3;11.5
2013;Norte;RO;1100130;Machadinho D'Oeste;Rural;Total;77.2;73.4;16.4;5.8;5;16.2
2013;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Total;85;58;10.4;23.3;2.3;16
2013;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Pública;85;58;10.4;23.3;2.3;16
2013;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Total;85;58;10.5;23.3;2;16
2013;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Total;85.1;--;10.1;--;3;--
2013;Norte;RO;1100155;Ouro Preto do Oeste;Total;Total;80.6;67.8;14;12.7;2.5;9.4
2013;Norte;RO;1100155;Ouro Preto do Oeste;Total;Pública;79.6;66.4;14.7;13.3;2.6;9.8
2013;Norte;RO;1100155;Ouro Preto do Oeste;Total;Privada;97.2;100;1.4;0;0.9;0
2013;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Total;80.2;67.8;14.6;12.7;2.2;9.4
2013;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Total;82.2;--;11;--;4.1;--
2013;Norte;RO;1100189;Pimenta Bueno;Total;Total;86.1;73.3;9.6;10.4;2.1;10
2013;Norte;RO;1100189;Pimenta Bueno;Total;Pública;85.6;72.2;10;10.8;2.2;10.4
2013;Norte;RO;1100189;Pimenta Bueno;Total;Privada;96.8;98.3;2.9;1.7;0.3;0
2013;Norte;RO;1100189;Pimenta Bueno;Urbana;Total;85.6;73.3;10;10.4;2;10
2013;Norte;RO;1100189;Pimenta Bueno;Rural;Total;89.6;--;7.1;--;2.5;--
2013;Norte;RO;1100205;Porto Velho;Total;Total;78.8;68.2;15;12.7;2.7;9.1
2013;Norte;RO;1100205;Porto Velho;Total;Pública;76.8;64.1;16.3;14;3;10
2013;Norte;RO;1100205;Porto Velho;Total;Privada;93.1;89.3;5.9;5.6;0.7;4.1
2013;Norte;RO;1100205;Porto Velho;Urbana;Total;79.5;68.2;14.3;12.7;2.5;8.8
2013;Norte;RO;1100205;Porto Velho;Rural;Total;75.8;67.6;18.1;11.8;4;12.7
2013;Norte;RO;1100254;Presidente Médici;Total;Total;83.9;75.5;11.7;9.7;2.6;8.5
2013;Norte;RO;1100254;Presidente Médici;Total;Pública;83.8;75.5;11.8;9.7;2.7;8.5
2013;Norte;RO;1100254;Presidente Médici;Total;Privada;92;--;8;--;0;--
2013;Norte;RO;1100254;Presidente Médici;Urbana;Total;82.7;75.3;12.9;10.3;2.2;7.5
2013;Norte;RO;1100254;Presidente Médici;Rural;Total;86.4;76.7;9.2;6.2;3.5;14
2013;Norte;RO;1100262;Rio Crespo;Total;Total;72.7;68.5;21;15.7;4.4;8.3
2013;Norte;RO;1100262;Rio Crespo;Total;Pública;72.7;68.5;21;15.7;4.4;8.3
