NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Total;Total;24.3;26.4
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Total;Estadual;28.9;26.4
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Total;Municipal;19.6;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Total;Privada;--;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Total;Publico;24.4;26.4
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Rural;Total;29.4;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Rural;Estadual;59.2;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Rural;Municipal;24.4;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Rural;Publico;29.4;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Urbana;Total;20.8;26.4
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Urbana;Estadual;25;26.4
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Urbana;Municipal;6.4;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Urbana;Privada;--;--
2014;Norte;RO;1100015.0;ALTA FLORESTA D OESTE;Urbana;Publico;21;26.4
2014;Norte;RO;1100023.0;ARIQUEMES;Total;Total;22;26.9
2014;Norte;RO;1100023.0;ARIQUEMES;Total;Estadual;26.1;29.7
2014;Norte;RO;1100023.0;ARIQUEMES;Total;Federal;--;17
2014;Norte;RO;1100023.0;ARIQUEMES;Total;Municipal;22.6;--
2014;Norte;RO;1100023.0;ARIQUEMES;Total;Privada;4.2;3.1
2014;Norte;RO;1100023.0;ARIQUEMES;Total;Publico;23.8;28
2014;Norte;RO;1100023.0;ARIQUEMES;Rural;Total;29;17
2014;Norte;RO;1100023.0;ARIQUEMES;Rural;Federal;--;17
2014;Norte;RO;1100023.0;ARIQUEMES;Rural;Municipal;29;--
2014;Norte;RO;1100023.0;ARIQUEMES;Rural;Publico;29;17
2014;Norte;RO;1100023.0;ARIQUEMES;Urbana;Total;20.9;28.3
2014;Norte;RO;1100023.0;ARIQUEMES;Urbana;Estadual;26.1;29.7
2014;Norte;RO;1100023.0;ARIQUEMES;Urbana;Municipal;20.5;--
2014;Norte;RO;1100023.0;ARIQUEMES;Urbana;Privada;4.2;3.1
2014;Norte;RO;1100023.0;ARIQUEMES;Urbana;Publico;22.9;29.7
2014;Norte;RO;1100031.0;CABIXI;Total;Total;15.8;20.7
2014;Norte;RO;1100031.0;CABIXI;Total;Estadual;24.6;20.7
2014;Norte;RO;1100031.0;CABIXI;Total;Municipal;7.2;--
2014;Norte;RO;1100031.0;CABIXI;Total;Publico;15.8;20.7
2014;Norte;RO;1100031.0;CABIXI;Rural;Total;28.9;20
2014;Norte;RO;1100031.0;CABIXI;Rural;Estadual;28.9;20
2014;Norte;RO;1100031.0;CABIXI;Rural;Publico;28.9;20
2014;Norte;RO;1100031.0;CABIXI;Urbana;Total;14.3;20.8
2014;Norte;RO;1100031.0;CABIXI;Urbana;Estadual;23.5;20.8
2014;Norte;RO;1100031.0;CABIXI;Urbana;Municipal;7.2;--
2014;Norte;RO;1100031.0;CABIXI;Urbana;Publico;14.3;20.8
2014;Norte;RO;1100049.0;CACOAL;Total;Total;16;24.9
2014;Norte;RO;1100049.0;CACOAL;Total;Estadual;23.3;29.2
2014;Norte;RO;1100049.0;CACOAL;Total;Federal;--;7.4
2014;Norte;RO;1100049.0;CACOAL;Total;Municipal;12.7;--
2014;Norte;RO;1100049.0;CACOAL;Total;Privada;3.5;9.1
2014;Norte;RO;1100049.0;CACOAL;Total;Publico;18.4;28.5
2014;Norte;RO;1100049.0;CACOAL;Rural;Total;18.7;41.3
2014;Norte;RO;1100049.0;CACOAL;Rural;Estadual;38;91.1
2014;Norte;RO;1100049.0;CACOAL;Rural;Municipal;16;--
2014;Norte;RO;1100049.0;CACOAL;Rural;Privada;24.4;25.2
2014;Norte;RO;1100049.0;CACOAL;Rural;Publico;18.6;91.1
2014;Norte;RO;1100049.0;CACOAL;Urbana;Total;15.4;24.2
2014;Norte;RO;1100049.0;CACOAL;Urbana;Estadual;22.5;28.4
2014;Norte;RO;1100049.0;CACOAL;Urbana;Federal;--;7.4
2014;Norte;RO;1100049.0;CACOAL;Urbana;Municipal;10.4;--
2014;Norte;RO;1100049.0;CACOAL;Urbana;Privada;3.1;5.7
2014;Norte;RO;1100049.0;CACOAL;Urbana;Publico;18.3;27.7
2014;Norte;RO;1100056.0;CEREJEIRAS;Total;Total;19.8;22.2
2014;Norte;RO;1100056.0;CEREJEIRAS;Total;Estadual;22.9;22.7
2014;Norte;RO;1100056.0;CEREJEIRAS;Total;Municipal;16.4;--
2014;Norte;RO;1100056.0;CEREJEIRAS;Total;Privada;4.4;6.3
2014;Norte;RO;1100056.0;CEREJEIRAS;Total;Publico;20.3;22.7
2014;Norte;RO;1100056.0;CEREJEIRAS;Rural;Total;25.5;--
2014;Norte;RO;1100056.0;CEREJEIRAS;Rural;Municipal;25.5;--
2014;Norte;RO;1100056.0;CEREJEIRAS;Rural;Publico;25.5;--
2014;Norte;RO;1100056.0;CEREJEIRAS;Urbana;Total;19.1;22.2
2014;Norte;RO;1100056.0;CEREJEIRAS;Urbana;Estadual;22.9;22.7
2014;Norte;RO;1100056.0;CEREJEIRAS;Urbana;Municipal;13.1;--
2014;Norte;RO;1100056.0;CEREJEIRAS;Urbana;Privada;4.4;6.3
2014;Norte;RO;1100056.0;CEREJEIRAS;Urbana;Publico;19.7;22.7
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Total;Total;16.1;17.1
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Total;Estadual;18.8;20.2
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Total;Federal;--;13.6
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Total;Municipal;11.7;--
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Total;Privada;1.7;--
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Total;Publico;16.4;17.1
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Rural;Total;15.7;13.6
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Rural;Federal;--;13.6
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Rural;Municipal;15.7;--
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Rural;Publico;15.7;13.6
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Urbana;Total;16.2;20.2
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Urbana;Estadual;18.8;20.2
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Urbana;Municipal;--;--
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Urbana;Privada;1.7;--
2014;Norte;RO;1100064.0;COLORADO DO OESTE;Urbana;Publico;16.7;20.2
2014;Norte;RO;1100072.0;CORUMBIARA;Total;Total;26.4;29.6
2014;Norte;RO;1100072.0;CORUMBIARA;Total;Estadual;21.5;29.6
2014;Norte;RO;1100072.0;CORUMBIARA;Total;Municipal;31.2;--
2014;Norte;RO;1100072.0;CORUMBIARA;Total;Publico;26.4;29.6
2014;Norte;RO;1100072.0;CORUMBIARA;Rural;Total;32.3;31
2014;Norte;RO;1100072.0;CORUMBIARA;Rural;Estadual;24.6;31
2014;Norte;RO;1100072.0;CORUMBIARA;Rural;Municipal;39.1;--
2014;Norte;RO;1100072.0;CORUMBIARA;Rural;Publico;32.3;31
2014;Norte;RO;1100072.0;CORUMBIARA;Urbana;Total;17.9;28.8
2014;Norte;RO;1100072.0;CORUMBIARA;Urbana;Estadual;17.3;28.8
2014;Norte;RO;1100072.0;CORUMBIARA;Urbana;Municipal;18.4;--
2014;Norte;RO;1100072.0;CORUMBIARA;Urbana;Publico;17.9;28.8
2014;Norte;RO;1100080.0;COSTA MARQUES;Total;Total;30;46.1
2014;Norte;RO;1100080.0;COSTA MARQUES;Total;Estadual;30;46.1
2014;Norte;RO;1100080.0;COSTA MARQUES;Total;Municipal;30;--
2014;Norte;RO;1100080.0;COSTA MARQUES;Total;Publico;30;46.1
2014;Norte;RO;1100080.0;COSTA MARQUES;Rural;Total;35.3;52.7
2014;Norte;RO;1100080.0;COSTA MARQUES;Rural;Estadual;32.1;52.7
2014;Norte;RO;1100080.0;COSTA MARQUES;Rural;Municipal;35.5;--
2014;Norte;RO;1100080.0;COSTA MARQUES;Rural;Publico;35.3;52.7
2014;Norte;RO;1100080.0;COSTA MARQUES;Urbana;Total;26.2;41.6
2014;Norte;RO;1100080.0;COSTA MARQUES;Urbana;Estadual;29.9;41.6
2014;Norte;RO;1100080.0;COSTA MARQUES;Urbana;Municipal;17.9;--
2014;Norte;RO;1100080.0;COSTA MARQUES;Urbana;Publico;26.2;41.6
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Total;Total;19.2;26.6
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Total;Estadual;21.7;28.2
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Total;Municipal;17.8;--
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Total;Privada;--;2.5
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Total;Publico;19.8;28.2
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Rural;Total;26.1;66.7
2014;Norte;RO;1100098.0;ESPIGAO D OESTE;Rural;Estadual;37.6;66.7
