NU_ANO_CENSO;NO_REGIAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Total;Total;23.3;24.9
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Total;Estadual;29;24.9
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;16.5;--
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Total;Pública;23.3;24.9
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Urbana;Total;21.4;24.9
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Urbana;Estadual;25.6;24.9
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Urbana;Municipal;11.2;--
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Urbana;Pública;21.4;24.9
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Rural;Total;26.9;--
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Rural;Estadual;55.1;--
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Rural;Municipal;20.3;--
2015;Norte;11;RO;1100015;Alta Floresta D'Oeste;Rural;Pública;26.9;--
2015;Norte;11;RO;1100023;Ariquemes;Total;Total;21;28.3
2015;Norte;11;RO;1100023;Ariquemes;Total;Federal;--;18.6
2015;Norte;11;RO;1100023;Ariquemes;Total;Estadual;25.4;31.3
2015;Norte;11;RO;1100023;Ariquemes;Total;Municipal;21.3;--
2015;Norte;11;RO;1100023;Ariquemes;Total;Privada;3;2.1
2015;Norte;11;RO;1100023;Ariquemes;Total;Pública;22.9;29.5
2015;Norte;11;RO;1100023;Ariquemes;Urbana;Total;20;29.7
2015;Norte;11;RO;1100023;Ariquemes;Urbana;Estadual;25.4;31.3
2015;Norte;11;RO;1100023;Ariquemes;Urbana;Municipal;19.5;--
2015;Norte;11;RO;1100023;Ariquemes;Urbana;Privada;3;2.1
2015;Norte;11;RO;1100023;Ariquemes;Urbana;Pública;22.2;31.3
2015;Norte;11;RO;1100023;Ariquemes;Rural;Total;27;18.6
2015;Norte;11;RO;1100023;Ariquemes;Rural;Federal;--;18.6
2015;Norte;11;RO;1100023;Ariquemes;Rural;Municipal;27;--
2015;Norte;11;RO;1100023;Ariquemes;Rural;Pública;27;18.6
2015;Norte;11;RO;1100031;Cabixi;Total;Total;12.7;27.1
2015;Norte;11;RO;1100031;Cabixi;Total;Estadual;17.6;27.1
2015;Norte;11;RO;1100031;Cabixi;Total;Municipal;7.5;--
2015;Norte;11;RO;1100031;Cabixi;Total;Pública;12.7;27.1
2015;Norte;11;RO;1100031;Cabixi;Urbana;Total;11.5;27
2015;Norte;11;RO;1100031;Cabixi;Urbana;Estadual;16.3;27
2015;Norte;11;RO;1100031;Cabixi;Urbana;Municipal;7.5;--
2015;Norte;11;RO;1100031;Cabixi;Urbana;Pública;11.5;27
2015;Norte;11;RO;1100031;Cabixi;Rural;Total;22.6;28.6
2015;Norte;11;RO;1100031;Cabixi;Rural;Estadual;22.6;28.6
2015;Norte;11;RO;1100031;Cabixi;Rural;Pública;22.6;28.6
2015;Norte;11;RO;1100049;Cacoal;Total;Total;14.5;26.7
