NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_MEDIA_TOTAL_ALUNOS_SALA;FUN_MEDIA_TOTAL_ALUNOS_SALA;MED_MEDIA_TOTAL_ALUNOS_SALA
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Total;5.2;4;5.1
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Total;5.2;4;5.1
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Total;4;4;4
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Estadual;;4.1;5.1
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Estadual;;4.1;5.1
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Estadual;;4;4
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;5.2;4;
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Municipal;5.2;4;
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Municipal;4;4;
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Pública;5.2;4;5.1
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Pública;5.2;4;5.1
2018;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Pública;4;4;4
2018;Norte;RO;1100023;Ariquemes;Total;Total;5.4;4.5;5.4
2018;Norte;RO;1100023;Ariquemes;Urbana;Total;5.5;4.6;4.8
2018;Norte;RO;1100023;Ariquemes;Rural;Total;4.3;4.2;7.9
2018;Norte;RO;1100023;Ariquemes;Total;Federal;;;9.3
2018;Norte;RO;1100023;Ariquemes;Rural;Federal;;;9.3
2018;Norte;RO;1100023;Ariquemes;Total;Estadual;;4.1;4.7
2018;Norte;RO;1100023;Ariquemes;Urbana;Estadual;;4.1;4.8
2018;Norte;RO;1100023;Ariquemes;Rural;Estadual;;4;3.8
2018;Norte;RO;1100023;Ariquemes;Total;Municipal;5.5;4.8;
2018;Norte;RO;1100023;Ariquemes;Urbana;Municipal;5.6;5;
2018;Norte;RO;1100023;Ariquemes;Rural;Municipal;4.3;4.3;
2018;Norte;RO;1100023;Ariquemes;Total;Privada;5.3;4.4;5.3
2018;Norte;RO;1100023;Ariquemes;Urbana;Privada;5.3;4.4;5.3
