NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;EDU_BAS_CAT_5;EDU_BAS_CAT_6
2021;Sudeste;SP;3500105;Adamantina;Total;Total;38,5;26,9;11,5;23,1;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;37,5;29,2;8,3;25,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;50,0;0,0;50,0;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;0,0;0,0;20,0;80,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;60,0;40,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;57,1;42,9;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;16,7;16,7;33,3;33,3;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;16,7;16,7;33,3;33,3;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;45,0;30,0;5,0;20,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;44,4;33,3;0,0;22,3;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;50,0;0,0;50,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Total;40,0;20,0;40,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;40,0;20,0;40,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;33,3;33,3;33,4;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;33,3;33,3;33,4;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Privada;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Privada;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;25,0;25,0;50,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;25,0;25,0;50,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Total;15,4;57,7;7,7;11,5;0,0;7,7
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;12,0;60,0;8,0;12,0;0,0;8,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;0,0;20,0;0,0;60,0;0,0;20,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;0,0;20,0;0,0;60,0;0,0;20,0
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;17,6;76,5;0,0;0,0;0,0;5,9
2021;Sudeste;SP;3500303;Aguaí;Urbana;Municipal;12,5;81,3;0,0;0,0;0,0;6,2
2021;Sudeste;SP;3500303;Aguaí;Rural;Municipal;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;25,0;25,0;50,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Privada;25,0;25,0;50,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;13,6;63,6;0,0;13,6;0,0;9,2
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;9,5;66,7;0,0;14,3;0,0;9,5
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;62,5;25,0;0,0;12,5;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;40,0;40,0;0,0;20,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;50,0;0,0;0,0;50,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;50,0;0,0;0,0;50,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;66,7;33,3;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;62,5;25,0;0,0;12,5;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;40,0;40,0;0,0;20,0;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Pública;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;63,2;15,8;5,3;5,3;5,3;5,1
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;63,2;15,8;5,3;5,3;5,3;5,1
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Estadual;0,0;50,0;0,0;0,0;0,0;50,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Estadual;0,0;50,0;0,0;0,0;0,0;50,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Municipal;71,4;14,3;7,1;0,0;7,2;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Municipal;71,4;14,3;7,1;0,0;7,2;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;66,7;0,0;0,0;33,3;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Privada;66,7;0,0;0,0;33,3;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;62,5;18,8;6,3;0,0;6,3;6,1
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Pública;62,5;18,8;6,3;0,0;6,3;6,1
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;25,0;25,0;0,0;25,0;25,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;25,0;25,0;0,0;25,0;25,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;33,3;33,3;0,0;0,0;33,4;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;33,3;33,3;0,0;0,0;33,4;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;25,0;25,0;0,0;25,0;25,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;25,0;25,0;0,0;25,0;25,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Privada;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Privada;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Total;20,7;44,8;10,3;20,7;3,5;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;17,9;46,4;10,7;21,4;3,6;0,0
2021;Sudeste;SP;3500709;Agudos;Rural;Total;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;0,0;33,3;16,7;50,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;0,0;33,3;16,7;50,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;33,3;50,0;11,1;0,0;5,6;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;29,4;52,9;11,8;0,0;5,9;0,0
2021;Sudeste;SP;3500709;Agudos;Rural;Municipal;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Privada;0,0;40,0;0,0;60,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;0,0;40,0;0,0;60,0;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Pública;25,0;45,8;12,5;12,5;4,2;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;21,7;47,8;13,0;13,0;4,5;0,0
2021;Sudeste;SP;3500709;Agudos;Rural;Pública;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Total;0,0;85,7;0,0;14,3;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;0,0;80,0;0,0;20,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Total;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Pública;0,0;85,7;0,0;14,3;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;0,0;80,0;0,0;20,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Total;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Total;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Pública;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;50,0;14,3;7,1;21,4;0,0;7,2
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;46,2;15,4;7,7;23,1;0,0;7,6
