NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_DEPENDENCIA;NO_CATEGORIA;ED_BAS_CAT1;ED_BAS_CAT2;ED_BAS_CAT3;ED_BAS_CAT4;ED_BAS_CAT5;ED_BAS_CAT6;ED_BAS_CAT7;ED_BAS_CAT8;ED_BAS_CAT9
2021;Sudeste;SP;3500105;Adamantina;Municipal;Total;160;100,0;3.072,64;3.923,56;4.328,11;5.420,78;1.527,91;34,2;5.060,32
2021;Sudeste;SP;3500105;Adamantina;Municipal;Superior;152;100,0;3.068,65;3.923,56;4.351,18;5.704,88;1.557,37;33,9;5.131,83
2021;Sudeste;SP;3500105;Adamantina;Municipal;Sem Superior;8;100,0;3.263,05;3.952,11;3.878,66;4.488,28;592,78;40,0;3.878,66
2021;Sudeste;SP;3500204;Adolfo;Municipal;Total;46;100,0;1.847,59;2.040,82;2.424,57;2.986,05;807,10;34,7;2.792,49
2021;Sudeste;SP;3500204;Adolfo;Municipal;Superior;46;100,0;1.847,59;2.040,82;2.424,57;2.986,05;807,10;34,7;2.792,49
2021;Sudeste;SP;3500303;Aguaí;Municipal;Total;190;99,5;2.204,95;2.653,41;2.820,90;3.176,17;861,12;26,5;4.253,89
2021;Sudeste;SP;3500303;Aguaí;Municipal;Superior;188;99,5;2.214,09;2.671,96;2.829,88;3.189,89;863,12;26,5;4.268,02
2021;Sudeste;SP;3500303;Aguaí;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3500402;Águas da Prata;Municipal;Total;48;91,7;3.068,36;3.670,84;3.529,06;3.769,53;571,03;30,2;4.677,01
2021;Sudeste;SP;3500402;Águas da Prata;Municipal;Superior;45;91,1;3.068,36;3.670,84;3.517,16;3.728,90;583,23;30,0;4.697,20
2021;Sudeste;SP;3500402;Águas da Prata;Municipal;Sem Superior;3;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3500501;Águas de Lindóia;Municipal;Total;186;100,0;2.384,94;2.577,34;2.972,18;3.350,09;870,43;28,8;4.123,57
2021;Sudeste;SP;3500501;Águas de Lindóia;Municipal;Superior;185;100,0;2.384,94;2.577,34;2.969,86;3.350,09;871,76;28,8;4.121,12
2021;Sudeste;SP;3500501;Águas de Lindóia;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Municipal;Total;55;100,0;3.463,86;4.062,98;3.987,72;4.708,79;1.001,55;31,7;5.033,57
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Municipal;Superior;54;100,0;3.463,86;4.104,54;4.009,33;4.708,79;994,46;31,7;5.056,58
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3500600;Águas de São Pedro;Municipal;Total;60;96,7;2.359,05;2.957,35;2.985,54;3.587,65;683,54;31,2;3.827,06
2021;Sudeste;SP;3500600;Águas de São Pedro;Municipal;Superior;58;98,3;2.359,05;2.957,35;2.988,01;3.587,65;689,26;31,2;3.827,63
2021;Sudeste;SP;3500600;Águas de São Pedro;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3500709;Agudos;Municipal;Total;304;69,7;2.579,32;2.778,69;2.897,28;3.061,99;584,48;29,8;3.891,08
2021;Sudeste;SP;3500709;Agudos;Municipal;Superior;277;69,3;2.581,85;2.786,23;2.911,69;3.062,37;604,18;29,8;3.906,57
2021;Sudeste;SP;3500709;Agudos;Municipal;Sem Superior;27;74,1;2.485,93;2.707,23;2.758,50;2.921,68;307,81;29,5;3.740,34
2021;Sudeste;SP;3500758;Alambari;Municipal;Total;30;100,0;2.884,61;3.670,31;3.848,31;4.695,38;981,44;31,5;4.893,32
2021;Sudeste;SP;3500758;Alambari;Municipal;Superior;26;100,0;3.318,43;3.704,48;3.920,94;4.695,38;951,25;31,7;4.949,70
2021;Sudeste;SP;3500758;Alambari;Municipal;Sem Superior;4;100,0;2.658,25;2.899,58;3.385,25;4.112,26;1.042,68;30,0;4.513,67
2021;Sudeste;SP;3500808;Alfredo Marcondes;Municipal;Total;15;100,0;2.125,76;3.249,53;2.887,25;3.273,35;600,78;41,1;2.812,00
2021;Sudeste;SP;3500808;Alfredo Marcondes;Municipal;Superior;14;100,0;2.125,76;3.249,53;2.858,66;3.273,35;613,74;40,8;2.799,28
2021;Sudeste;SP;3500808;Alfredo Marcondes;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3500907;Altair;Municipal;Total;33;100,0;2.102,96;2.292,99;2.398,97;2.615,62;294,10;24,8;3.872,71
2021;Sudeste;SP;3500907;Altair;Municipal;Superior;31;100,0;2.290,67;2.292,99;2.409,22;2.615,62;290,43;24,8;3.881,59
2021;Sudeste;SP;3500907;Altair;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3501004;Altinópolis;Municipal;Total;104;97,1;2.274,88;2.570,00;2.662,02;3.162,00;798,09;30,0;3.554,97
2021;Sudeste;SP;3501004;Altinópolis;Municipal;Superior;102;97,1;2.274,88;2.583,62;2.690,39;3.165,97;780,30;29,8;3.617,24
2021;Sudeste;SP;3501004;Altinópolis;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3501103;Alto Alegre;Municipal;Total;17;100,0;2.660,94;3.590,76;3.388,81;3.964,21;785,87;25,0;5.432,80
2021;Sudeste;SP;3501103;Alto Alegre;Municipal;Superior;17;100,0;2.660,94;3.590,76;3.388,81;3.964,21;785,87;25,0;5.432,80
2021;Sudeste;SP;3501152;Alumínio;Municipal;Total;159;86,2;2.929,75;3.320,96;4.206,56;5.902,56;1.649,26;29,7;5.658,24
2021;Sudeste;SP;3501152;Alumínio;Municipal;Superior;147;85,7;3.051,65;3.415,68;4.311,10;6.027,89;1.662,35;29,8;5.794,54
2021;Sudeste;SP;3501152;Alumínio;Municipal;Sem Superior;12;91,7;2.744,52;2.915,39;3.082,78;2.983,15;934,63;29,5;4.180,04
2021;Sudeste;SP;3501202;Álvares Florence;Municipal;Total;37;100,0;2.262,26;2.577,07;2.515,58;2.725,08;470,66;29,0;3.473,93
2021;Sudeste;SP;3501202;Álvares Florence;Municipal;Superior;36;100,0;2.234,44;2.578,27;2.516,08;2.725,08;476,86;28,9;3.477,91
2021;Sudeste;SP;3501202;Álvares Florence;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3501301;Álvares Machado;Municipal;Total;167;98,2;2.044,66;2.803,99;2.936,98;3.453,86;1.011,62;29,5;3.981,57
2021;Sudeste;SP;3501301;Álvares Machado;Municipal;Superior;163;98,2;2.122,23;2.803,99;2.941,87;3.453,86;1.014,87;29,5;3.989,84
2021;Sudeste;SP;3501301;Álvares Machado;Municipal;Sem Superior;4;100,0;2.044,66;2.877,57;2.738,73;4.029,30;845,90;30,0;3.651,64
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Municipal;Total;22;100,0;2.893,58;3.031,40;3.306,77;3.828,63;791,73;25,7;5.154,99
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Municipal;Superior;22;100,0;2.893,58;3.031,40;3.306,77;3.828,63;791,73;25,7;5.154,99
2021;Sudeste;SP;3501509;Alvinlândia;Municipal;Total;28;96,4;2.188,16;2.635,65;2.623,79;3.039,98;606,35;27,5;3.813,05
2021;Sudeste;SP;3501509;Alvinlândia;Municipal;Superior;27;100,0;2.188,16;2.635,65;2.623,79;3.039,98;606,35;27,5;3.813,05
2021;Sudeste;SP;3501509;Alvinlândia;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3501608;Americana;Municipal;Total;776;100,0;3.688,41;5.500,13;5.326,87;6.725,17;1.742,37;34,6;6.157,82
2021;Sudeste;SP;3501608;Americana;Municipal;Superior;722;100,0;3.792,24;5.609,81;5.416,04;6.794,38;1.738,19;34,6;6.269,33
2021;Sudeste;SP;3501608;Americana;Municipal;Sem Superior;54;100,0;3.086,64;3.857,06;4.131,51;4.703,54;1.302,08;35,2;4.691,43
2021;Sudeste;SP;3501707;Américo Brasiliense;Municipal;Total;245;99,6;2.426,35;2.993,69;3.024,00;3.601,16;763,79;27,5;4.391,24
2021;Sudeste;SP;3501707;Américo Brasiliense;Municipal;Superior;237;99,6;2.449,80;3.018,62;3.040,98;3.601,16;739,55;27,5;4.427,68
2021;Sudeste;SP;3501707;Américo Brasiliense;Municipal;Sem Superior;8;100,0;1.222,94;2.383,23;2.485,01;3.474,23;1.200,43;29,9;3.327,21
2021;Sudeste;SP;3501806;Américo de Campos;Municipal;Total;50;100,0;2.107,03;2.751,70;2.901,68;3.508,45;1.112,43;28,2;4.121,86
2021;Sudeste;SP;3501806;Américo de Campos;Municipal;Superior;44;100,0;2.085,48;3.054,25;2.962,42;3.515,58;1.150,57;27,7;4.277,46
2021;Sudeste;SP;3501806;Américo de Campos;Municipal;Sem Superior;6;100,0;2.235,32;2.238,58;2.316,81;2.279,18;170,06;32,6;2.846,88
2021;Sudeste;SP;3501905;Amparo;Municipal;Total;379;99,7;3.044,24;3.514,67;3.717,73;4.313,58;999,87;34,7;4.288,71
2021;Sudeste;SP;3501905;Amparo;Municipal;Superior;360;99,7;3.023,05;3.499,27;3.716,46;4.308,47;1.012,40;34,7;4.285,24
2021;Sudeste;SP;3501905;Amparo;Municipal;Sem Superior;19;100,0;3.126,88;3.798,53;3.741,75;4.397,19;723,22;34,4;4.354,87
2021;Sudeste;SP;3502002;Analândia;Municipal;Total;49;91,8;3.493,96;3.790,56;3.874,92;4.121,50;644,26;36,8;4.211,30
2021;Sudeste;SP;3502002;Analândia;Municipal;Superior;48;91,7;3.493,96;3.795,56;3.878,86;4.338,37;651,13;36,8;4.213,46
2021;Sudeste;SP;3502002;Analândia;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3502101;Andradina;Municipal;Total;309;97,7;2.059,66;2.521,63;2.775,85;3.229,24;1.164,35;29,1;3.816,37
2021;Sudeste;SP;3502101;Andradina;Municipal;Superior;295;97,6;2.056,61;2.532,02;2.794,55;3.309,63;1.184,26;29,2;3.826,59
2021;Sudeste;SP;3502101;Andradina;Municipal;Sem Superior;14;100,0;2.111,53;2.197,37;2.426,66;2.611,12;595,15;26,9;3.609,09
2021;Sudeste;SP;3502200;Angatuba;Municipal;Total;159;98,7;3.423,99;4.085,54;4.032,54;4.640,86;907,07;38,9;4.150,14
2021;Sudeste;SP;3502200;Angatuba;Municipal;Superior;152;98,7;3.368,03;4.085,54;4.026,07;4.666,47;921,71;38,8;4.154,96
2021;Sudeste;SP;3502200;Angatuba;Municipal;Sem Superior;7;100,0;3.823,96;4.123,44;4.169,72;4.456,92;484,99;41,1;4.053,89
2021;Sudeste;SP;3502309;Anhembi;Municipal;Total;62;98,4;2.384,87;3.023,38;3.342,42;4.243,10;1.105,10;24,6;5.438,35
2021;Sudeste;SP;3502309;Anhembi;Municipal;Superior;62;98,4;2.384,87;3.023,38;3.342,42;4.243,10;1.105,10;24,6;5.438,35
2021;Sudeste;SP;3502408;Anhumas;Municipal;Total;31;93,5;2.321,11;3.100,59;3.046,74;3.471,19;733,62;33,2;3.667,65
2021;Sudeste;SP;3502408;Anhumas;Municipal;Superior;30;93,3;2.321,11;3.100,59;3.043,01;3.554,67;746,69;33,2;3.662,23
2021;Sudeste;SP;3502408;Anhumas;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3502507;Aparecida;Municipal;Total;250;99,6;3.065,17;3.859,11;4.068,77;4.914,84;1.472,79;29,4;5.532,73
2021;Sudeste;SP;3502507;Aparecida;Municipal;Superior;245;99,6;3.065,17;3.859,11;4.080,57;4.955,82;1.478,55;29,4;5.546,78
2021;Sudeste;SP;3502507;Aparecida;Municipal;Sem Superior;5;100,0;2.301,10;3.221,44;3.341,22;3.925,72;763,24;28,8;4.647,33
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Municipal;Total;28;96,4;2.648,22;2.863,48;2.842,27;3.166,08;522,42;29,3;3.877,31
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Municipal;Superior;28;96,4;2.648,22;2.863,48;2.842,27;3.166,08;522,42;29,3;3.877,31
2021;Sudeste;SP;3502705;Apiaí;Municipal;Total;121;98,3;2.457,63;2.930,98;3.101,22;3.608,12;831,56;35,4;3.503,21
2021;Sudeste;SP;3502705;Apiaí;Municipal;Superior;115;98,3;2.465,45;3.052,99;3.136,99;3.609,27;832,99;35,2;3.561,07
2021;Sudeste;SP;3502705;Apiaí;Municipal;Sem Superior;6;100,0;2.094,36;2.413,79;2.430,16;2.712,80;415,49;38,7;2.513,95
2021;Sudeste;SP;3502754;Araçariguama;Municipal;Total;292;99,3;2.594,21;3.264,02;3.535,08;4.323,93;1.210,03;39,9;3.546,05
2021;Sudeste;SP;3502754;Araçariguama;Municipal;Superior;284;99,3;2.594,21;3.264,02;3.534,64;4.344,02;1.218,66;39,9;3.545,92
2021;Sudeste;SP;3502754;Araçariguama;Municipal;Sem Superior;8;100,0;2.594,21;3.718,47;3.550,39;4.017,43;861,88;40,0;3.550,39
2021;Sudeste;SP;3502804;Araçatuba;Municipal;Total;759;99,5;2.941,25;3.270,67;3.475,33;3.822,54;869,06;30,3;4.580,49
2021;Sudeste;SP;3502804;Araçatuba;Municipal;Superior;752;99,5;2.952,10;3.275,21;3.491,98;3.834,91;854,12;30,3;4.613,44
2021;Sudeste;SP;3502804;Araçatuba;Municipal;Sem Superior;7;100,0;1.463,61;1.476,91;1.583,73;1.720,48;266,03;38,6;1.642,39
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Municipal;Total;258;98,4;2.700,48;3.213,51;3.182,96;3.607,03;614,33;34,4;3.698,71
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Municipal;Superior;256;98,4;2.699,32;3.212,75;3.176,29;3.596,42;611,97;34,4;3.692,29
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3503000;Aramina;Municipal;Total;37;100,0;2.151,27;2.299,44;2.480,67;2.765,78;504,53;30,7;3.229,83
2021;Sudeste;SP;3503000;Aramina;Municipal;Superior;36;100,0;2.151,27;2.298,19;2.470,61;2.629,04;510,46;30,7;3.214,06
2021;Sudeste;SP;3503000;Aramina;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3503109;Arandu;Municipal;Total;42;97,6;1.918,50;2.061,44;2.221,08;2.417,12;524,10;30,2;2.938,66
2021;Sudeste;SP;3503109;Arandu;Municipal;Superior;42;97,6;1.918,50;2.061,44;2.221,08;2.417,12;524,10;30,2;2.938,66
2021;Sudeste;SP;3503158;Arapeí;Municipal;Total;29;96,6;3.437,14;3.801,23;3.932,36;4.469,26;843,52;40,0;3.932,36
2021;Sudeste;SP;3503158;Arapeí;Municipal;Superior;29;96,6;3.437,14;3.801,23;3.932,36;4.469,26;843,52;40,0;3.932,36
2021;Sudeste;SP;3503208;Araraquara;Municipal;Total;936;99,9;2.556,26;3.266,89;3.287,72;3.791,64;772,33;26,1;5.030,33
2021;Sudeste;SP;3503208;Araraquara;Municipal;Superior;916;100,0;2.562,18;3.270,92;3.297,14;3.796,00;766,03;26,2;5.043,14
2021;Sudeste;SP;3503208;Araraquara;Municipal;Sem Superior;20;95,0;2.104,86;2.686,78;2.843,82;3.742,80;922,91;25,8;4.417,59
2021;Sudeste;SP;3503307;Araras;Municipal;Total;779;100,0;2.534,49;2.747,88;2.980,31;3.167,11;810,29;28,5;4.188,72
2021;Sudeste;SP;3503307;Araras;Municipal;Superior;772;100,0;2.534,97;2.747,88;2.987,08;3.172,56;809,09;28,4;4.202,73
2021;Sudeste;SP;3503307;Araras;Municipal;Sem Superior;7;100,0;2.025,80;2.177,83;2.309,78;2.538,19;628,60;31,5;2.934,56
2021;Sudeste;SP;3503356;Arco-Íris;Municipal;Total;13;100,0;2.614,53;2.680,94;3.216,19;3.033,88;1.069,69;28,9;4.447,07
2021;Sudeste;SP;3503356;Arco-Íris;Municipal;Superior;13;100,0;2.614,53;2.680,94;3.216,19;3.033,88;1.069,69;28,9;4.447,07
2021;Sudeste;SP;3503406;Arealva;Municipal;Total;62;100,0;2.224,62;2.683,14;2.739,51;2.981,17;590,66;28,9;3.789,18
2021;Sudeste;SP;3503406;Arealva;Municipal;Superior;60;100,0;2.224,62;2.704,02;2.756,41;2.981,17;593,74;29,1;3.794,63
2021;Sudeste;SP;3503406;Arealva;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3503505;Areias;Municipal;Total;39;97,4;2.611,82;2.833,33;2.810,57;3.069,73;491,41;44,0;2.555,06
