NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT_FUN;1_CAT_MED;2_CAT_FUN;2_CAT_MED;3_CAT_FUN;3_CAT_MED
2021;Sudeste;SP;3500105;Adamantina;Total;Total;99,5;99,0;0,2;0,5;0,3;0,5
2021;Sudeste;SP;3500105;Adamantina;Urbana;Total;99,5;98,9;0,2;0,5;0,3;0,6
2021;Sudeste;SP;3500105;Adamantina;Rural;Total;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Estadual;99,0;98,7;0,0;0,6;1,0;0,7
2021;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;99,0;98,7;0,0;0,6;1,0;0,7
2021;Sudeste;SP;3500105;Adamantina;Rural;Estadual;--;100,0;--;0,0;--;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500105;Adamantina;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500105;Adamantina;Total;Privada;99,5;100,0;0,5;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Urbana;Privada;99,5;100,0;0,5;0,0;0,0;0,0
2021;Sudeste;SP;3500105;Adamantina;Total;Pública;99,5;98,7;0,0;0,6;0,5;0,7
2021;Sudeste;SP;3500105;Adamantina;Urbana;Pública;99,5;98,7;0,0;0,6;0,5;0,7
2021;Sudeste;SP;3500105;Adamantina;Rural;Pública;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500204;Adolfo;Total;Total;99,0;97,8;1,0;0,0;0,0;2,2
2021;Sudeste;SP;3500204;Adolfo;Urbana;Total;99,0;97,8;1,0;0,0;0,0;2,2
2021;Sudeste;SP;3500204;Adolfo;Total;Estadual;--;97,8;--;0,0;--;2,2
2021;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;--;97,8;--;0,0;--;2,2
2021;Sudeste;SP;3500204;Adolfo;Total;Municipal;99,0;--;1,0;--;0,0;--
2021;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;99,0;--;1,0;--;0,0;--
2021;Sudeste;SP;3500204;Adolfo;Total;Pública;99,0;97,8;1,0;0,0;0,0;2,2
2021;Sudeste;SP;3500204;Adolfo;Urbana;Pública;99,0;97,8;1,0;0,0;0,0;2,2
2021;Sudeste;SP;3500303;Aguaí;Total;Total;99,2;92,9;0,7;2,3;0,1;4,8
2021;Sudeste;SP;3500303;Aguaí;Urbana;Total;99,2;92,9;0,7;2,3;0,1;4,8
2021;Sudeste;SP;3500303;Aguaí;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500303;Aguaí;Total;Estadual;99,0;92,7;0,5;2,4;0,5;4,9
2021;Sudeste;SP;3500303;Aguaí;Urbana;Estadual;99,0;92,7;0,5;2,4;0,5;4,9
2021;Sudeste;SP;3500303;Aguaí;Total;Municipal;99,3;--;0,7;--;0,0;--
2021;Sudeste;SP;3500303;Aguaí;Urbana;Municipal;99,3;--;0,7;--;0,0;--
2021;Sudeste;SP;3500303;Aguaí;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500303;Aguaí;Total;Privada;99,0;100,0;1,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Privada;99,0;100,0;1,0;0,0;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;99,2;92,7;0,6;2,4;0,2;4,9
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;99,2;92,7;0,6;2,4;0,2;4,9
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;97,1;84,5;1,8;9,2;1,1;6,3
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;96,3;84,5;2,3;9,2;1,4;6,3
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;93,4;84,5;4,1;9,2;2,5;6,3
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;93,4;84,5;4,1;9,2;2,5;6,3
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;99,7;--;0,3;--;0,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;99,6;--;0,4;--;0,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;97,1;84,5;1,8;9,2;1,1;6,3
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;96,3;84,5;2,3;9,2;1,4;6,3
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Pública;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;94,3;96,6;5,6;2,4;0,1;1,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;94,3;96,6;5,6;2,4;0,1;1,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Estadual;99,7;96,4;0,0;2,5;0,3;1,1
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Estadual;99,7;96,4;0,0;2,5;0,3;1,1
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Municipal;92,7;--;7,3;--;0,0;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Municipal;92,7;--;7,3;--;0,0;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Privada;100,0;100,0;0,0;0,0;0,0;0,0
