NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Total;16.1;25.6
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Total;12.3;22.1
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Total;33;85.7
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Estadual;27.2;25.6
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Estadual;18.9;22.1
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Estadual;68.3;85.7
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;8;--
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Municipal;7.3;--
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Municipal;10.5;--
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Pública;16.1;25.6
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;Pública;12.3;22.1
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;Pública;33;85.7
2021;Norte;RO;1100023;Ariquemes;Total;Total;12.1;27.1
2021;Norte;RO;1100023;Ariquemes;Urbana;Total;11.3;25.9
2021;Norte;RO;1100023;Ariquemes;Rural;Total;18.4;31.4
2021;Norte;RO;1100023;Ariquemes;Total;Federal;--;25.7
2021;Norte;RO;1100023;Ariquemes;Rural;Federal;--;25.7
2021;Norte;RO;1100023;Ariquemes;Total;Estadual;17.2;28.4
2021;Norte;RO;1100023;Ariquemes;Urbana;Estadual;16.3;26.9
2021;Norte;RO;1100023;Ariquemes;Rural;Estadual;31.9;50.7
2021;Norte;RO;1100023;Ariquemes;Total;Municipal;10.9;--
2021;Norte;RO;1100023;Ariquemes;Urbana;Municipal;10;--
2021;Norte;RO;1100023;Ariquemes;Rural;Municipal;15.3;--
2021;Norte;RO;1100023;Ariquemes;Total;Privada;1.1;2.8
2021;Norte;RO;1100023;Ariquemes;Urbana;Privada;1.1;2.8
2021;Norte;RO;1100023;Ariquemes;Total;Pública;13.4;27.9
2021;Norte;RO;1100023;Ariquemes;Urbana;Pública;12.7;26.9
2021;Norte;RO;1100023;Ariquemes;Rural;Pública;18.4;31.4
2021;Norte;RO;1100031;Cabixi;Total;Total;9.7;20.1
2021;Norte;RO;1100031;Cabixi;Urbana;Total;8.9;20.5
2021;Norte;RO;1100031;Cabixi;Rural;Total;14.4;17.4
2021;Norte;RO;1100031;Cabixi;Total;Estadual;13.7;20.1
2021;Norte;RO;1100031;Cabixi;Urbana;Estadual;13.5;20.5
2021;Norte;RO;1100031;Cabixi;Rural;Estadual;14.4;17.4
2021;Norte;RO;1100031;Cabixi;Total;Municipal;4.9;--
2021;Norte;RO;1100031;Cabixi;Urbana;Municipal;4.9;--
2021;Norte;RO;1100031;Cabixi;Total;Pública;9.7;20.1
2021;Norte;RO;1100031;Cabixi;Urbana;Pública;8.9;20.5
2021;Norte;RO;1100031;Cabixi;Rural;Pública;14.4;17.4
2021;Norte;RO;1100049;Cacoal;Total;Total;6.6;18.8
2021;Norte;RO;1100049;Cacoal;Urbana;Total;5.5;17.4
2021;Norte;RO;1100049;Cacoal;Rural;Total;13.1;50.6
2021;Norte;RO;1100049;Cacoal;Total;Federal;--;3.8
2021;Norte;RO;1100049;Cacoal;Urbana;Federal;--;3.8
2021;Norte;RO;1100049;Cacoal;Total;Estadual;10;25.1
2021;Norte;RO;1100049;Cacoal;Urbana;Estadual;8;23.4
2021;Norte;RO;1100049;Cacoal;Rural;Estadual;50.8;87.3
2021;Norte;RO;1100049;Cacoal;Total;Municipal;5.2;--
2021;Norte;RO;1100049;Cacoal;Urbana;Municipal;4.3;--
2021;Norte;RO;1100049;Cacoal;Rural;Municipal;6.7;--
2021;Norte;RO;1100049;Cacoal;Total;Privada;0.8;6.6
2021;Norte;RO;1100049;Cacoal;Urbana;Privada;0.8;3.2
2021;Norte;RO;1100049;Cacoal;Rural;Privada;0;26.2
2021;Norte;RO;1100049;Cacoal;Total;Pública;7.9;21.4
2021;Norte;RO;1100049;Cacoal;Urbana;Pública;6.8;20
2021;Norte;RO;1100049;Cacoal;Rural;Pública;13.2;87.3
2021;Norte;RO;1100056;Cerejeiras;Total;Total;9.1;24.1
2021;Norte;RO;1100056;Cerejeiras;Urbana;Total;9.1;24
2021;Norte;RO;1100056;Cerejeiras;Rural;Total;--;25
2021;Norte;RO;1100056;Cerejeiras;Total;Estadual;12.9;24
2021;Norte;RO;1100056;Cerejeiras;Urbana;Estadual;12.9;24
2021;Norte;RO;1100056;Cerejeiras;Total;Municipal;4.3;--
2021;Norte;RO;1100056;Cerejeiras;Urbana;Municipal;4.3;--
2021;Norte;RO;1100056;Cerejeiras;Total;Privada;1.8;25
2021;Norte;RO;1100056;Cerejeiras;Urbana;Privada;1.8;--
2021;Norte;RO;1100056;Cerejeiras;Rural;Privada;--;25
2021;Norte;RO;1100056;Cerejeiras;Total;Pública;9.5;24
2021;Norte;RO;1100056;Cerejeiras;Urbana;Pública;9.5;24
2021;Norte;RO;1100064;Colorado do Oeste;Total;Total;7.8;16.4
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Total;7.6;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Total;8.7;15.2
2021;Norte;RO;1100064;Colorado do Oeste;Total;Federal;--;15.2
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Federal;--;15.2
2021;Norte;RO;1100064;Colorado do Oeste;Total;Estadual;12.8;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Estadual;12.8;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;4.6;--
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Municipal;2.6;--
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Municipal;8.7;--
2021;Norte;RO;1100064;Colorado do Oeste;Total;Privada;1.3;--
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Privada;1.3;--
2021;Norte;RO;1100064;Colorado do Oeste;Total;Pública;8.1;16.4
2021;Norte;RO;1100064;Colorado do Oeste;Urbana;Pública;7.9;17.9
2021;Norte;RO;1100064;Colorado do Oeste;Rural;Pública;8.7;15.2
