CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2013;PERCENTUAL_FAMILIAS_PBF_2014;PERCENTUAL_FAMILIAS_PBF_2015;PERCENTUAL_FAMILIAS_PBF_2016;PERCENTUAL_FAMILIAS_PBF_2017;PERCENTUAL_FAMILIAS_PBF_2018;PERCENTUAL_FAMILIAS_PBF_2019;PERCENTUAL_FAMILIAS_PBF_2020;PERCENTUAL_FAMILIAS_PBF_2021
1100015;341325;377799;421300;478217;485374;498980;495775;570242;734469;0.08217;0.08167;0.07276;0.06595;0.06164;0.06466;0.06141;0.06705;0.06848
1100023;1799853;1921532;2037799;2184346;2287910;2464704;2579278;2817331;3209761;0.06024;0.05378;0.04985;0.04239;0.03866;0.03734;0.03099;0.03596;0.04132
1100031;96365;113477;116565;133342;138110;140503;139976;167153;238412;0.07975;0.06289;0.06216;0.04118;0.03438;0.03439;0.02993;0.03604;0.04362
1100049;1433254;1660650;1794478;1947283;2082761;2175840;2261930;2518845;2792383;0.05583;0.04634;0.04222;0.03424;0.02804;0.03149;0.02788;0.03646;0.04228
1100056;353270;392417;397736;408194;439245;470647;506494;600630;743037;0.06064;0.0438;0.0487;0.04388;0.03719;0.04062;0.03755;0.04388;0.04656
1100064;242767;273759;285372;306518;328377;330232;334922;366922;424807;0.04977;0.04547;0.03901;0.02452;0.02236;0.02366;0.01964;0.02406;0.02649
1100072;168681;186868;190906;236624;332804;320416;349289;268353;396728;0.09385;0.09085;0.07872;0.07201;0.05717;0.05868;0.05074;0.05291;0.05757
1100080;149739;168605;187170;206101;212879;230151;238796;261944;316671;0.10257;0.10106;0.10456;0.10217;0.09902;0.09364;0.08723;0.09161;0.08709
1100098;426546;462389;483962;543318;566361;606072;624787;666321;773381;0.08108;0.06069;0.05555;0.04732;0.04363;0.0435;0.04028;0.04771;0.04968
1100106;605131;646154;682458;740352;775195;837459;892778;984614;1054179;0.08789;0.09225;0.08666;0.07409;0.06451;0.06647;0.06216;0.0714;0.07688
1100114;1070429;1130660;1207965;1313922;1354733;1484555;1500855;1665151;1765089;0.07524;0.07087;0.06762;0.05611;0.04394;0.04105;0.03614;0.04039;0.04197
1100122;2374801;2651246;2755755;2985775;3062162;3466810;3783206;4057176;4231113;0.04504;0.03777;0.03517;0.03304;0.02251;0.02025;0.01519;0.01847;0.01989
1100130;396658;424790;451940;512904;587758;642283;632997;700188;890320;0.08498;0.07662;0.07652;0.06702;0.05778;0.05174;0.04146;0.04475;0.04237
1100148;230676;257255;272574;307760;345425;345779;359625;403373;548734;0.12041;0.12408;0.10272;0.08989;0.07219;0.06994;0.06164;0.07023;0.07945
1100155;556443;600734;633050;711121;762112;807497;834959;885132;985868;0.0496;0.04349;0.03702;0.03223;0.02684;0.02719;0.02314;0.03268;0.04071
1100189;755542;837925;906443;1000682;1050682;1129770;1164694;1361160;1642516;0.05011;0.04789;0.04207;0.03483;0.02631;0.02327;0.02049;0.02381;0.02359
1100205;11699707;12793026;13970352;14751261;16974627;16655670;17906443;19446740;20059522;0.05057;0.05325;0.04943;0.0471;0.0458;0.04877;0.04261;0.04917;0.04709
1100254;292636;334713;359302;388308;410136;418683;427885;464090;559990;0.0941;0.10372;0.10165;0.0929;0.09189;0.09356;0.08069;0.091;0.11049
1100262;63732;74698;78522;90904;105272;102476;111100;133557;184430;0.1132;0.1038;0.0928;0.08153;0.05432;0.04781;0.03773;0.04968;0.05386
1100288;926089;1024962;1082400;1197691;1304503;1291476;1281314;1403499;1565194;0.06344;0.05179;0.04274;0.03247;0.02737;0.0259;0.02265;0.02628;0.02748
1100296;125662;132906;135949;149255;153096;146269;142638;156765;213556;0.0809;0.07305;0.062;0.05848;0.05209;0.06076;0.05727;0.07014;0.08129
1100304;2011515;2124668;2185475;2421840;2523712;2720979;2832738;3152560;4215046;0.04557;0.04772;0.04316;0.03725;0.03766;0.0346;0.02603;0.02753;0.0268
1100320;395408;411122;454048;514606;633099;704874;616830;730643;905335;0.0916;0.07234;0.0585;0.05973;0.04429;0.03942;0.03073;0.03436;0.03772
1100338;308322;341402;379824;419534;463144;508409;529243;601843;742687;0.11336;0.1216;0.1104;0.07478;0.05064;0.0455;0.0376;0.04364;0.04331
1100346;191138;205518;220491;243599;252252;256200;260403;289497;352628;0.11736;0.1248;0.11815;0.10028;0.09034;0.09197;0.08098;0.08876;0.09024
1100379;183210;211214;212357;230030;328001;278342;288721;324519;483672;0.09771;0.08989;0.0736;0.06353;0.05924;0.05595;0.05173;0.05817;0.06165
1100403;214064;233006;258222;287145;307459;328757;358407;396387;510361;0.09548;0.09778;0.09396;0.07059;0.05508;0.05257;0.04452;0.0498;0.05342
1100452;427488;475961;519513;581699;649985;680428;726351;781528;966552;0.09192;0.08654;0.08069;0.07017;0.05758;0.05486;0.04537;0.04924;0.04676
1100502;113700;127668;134273;150378;167453;165986;165527;185088;231502;0.09757;0.09564;0.09293;0.08572;0.07263;0.07542;0.0684;0.07708;0.0784
1100601;99011;116988;125344;134084;139924;140567;144465;169146;275338;0.07658;0.06632;0.05827;0.04864;0.03978;0.03958;0.03258;0.03844;0.04059
1100700;181408;203987;223211;221141;266520;285323;274661;331894;369377;0.09843;0.09637;0.09226;0.07984;0.05896;0.05004;0.03649;0.03848;0.03697
