CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021
1100015;341325;377799;421300;478217;485374;498980;495775;570242;734469
1100023;1799853;1921532;2037799;2184346;2287910;2464704;2579278;2817331;3209761
1100031;96365;113477;116565;133342;138110;140503;139976;167153;238412
1100049;1433254;1660650;1794478;1947283;2082761;2175840;2261930;2518845;2792383
1100056;353270;392417;397736;408194;439245;470647;506494;600630;743037
1100064;242767;273759;285372;306518;328377;330232;334922;366922;424807
1100072;168681;186868;190906;236624;332804;320416;349289;268353;396728
1100080;149739;168605;187170;206101;212879;230151;238796;261944;316671
1100098;426546;462389;483962;543318;566361;606072;624787;666321;773381
1100106;605131;646154;682458;740352;775195;837459;892778;984614;1054179
1100114;1070429;1130660;1207965;1313922;1354733;1484555;1500855;1665151;1765089
1100122;2374801;2651246;2755755;2985775;3062162;3466810;3783206;4057176;4231113
1100130;396658;424790;451940;512904;587758;642283;632997;700188;890320
1100148;230676;257255;272574;307760;345425;345779;359625;403373;548734
1100155;556443;600734;633050;711121;762112;807497;834959;885132;985868
1100189;755542;837925;906443;1000682;1050682;1129770;1164694;1361160;1642516
1100205;11699707;12793026;13970352;14751261;16974627;16655670;17906443;19446740;20059522
1100254;292636;334713;359302;388308;410136;418683;427885;464090;559990
1100262;63732;74698;78522;90904;105272;102476;111100;133557;184430
1100288;926089;1024962;1082400;1197691;1304503;1291476;1281314;1403499;1565194
1100296;125662;132906;135949;149255;153096;146269;142638;156765;213556
1100304;2011515;2124668;2185475;2421840;2523712;2720979;2832738;3152560;4215046
1100320;395408;411122;454048;514606;633099;704874;616830;730643;905335
1100338;308322;341402;379824;419534;463144;508409;529243;601843;742687
1100346;191138;205518;220491;243599;252252;256200;260403;289497;352628
1100379;183210;211214;212357;230030;328001;278342;288721;324519;483672
1100403;214064;233006;258222;287145;307459;328757;358407;396387;510361
1100452;427488;475961;519513;581699;649985;680428;726351;781528;966552
1100502;113700;127668;134273;150378;167453;165986;165527;185088;231502
1100601;99011;116988;125344;134084;139924;140567;144465;169146;275338
1100700;181408;203987;223211;221141;266520;285323;274661;331894;369377
1100809;280360;317451;399266;399703;491350;568963;548064;562989;655606
1100908;53263;59750;66529;68661;110916;113026;103993;80395;99627
1100924;225345;228353;235664;275131;279877;300109;304810;374750;468793
1100940;249223;265664;288031;315494;324735;357078;385069;431816;487480
1101005;140140;145566;154876;163293;178524;178491;177942;200565;239330
1101104;139589;133036;143840;153760;158293;173175;184657;192750;210031
1101203;146641;167762;170866;189597;215810;205983;216434;224912;297878
1101302;134517;162908;178007;191943;205082;218549;216961;231662;262640
1101401;205600;218407;229497;242608;267804;284071;291812;340931;389891
1101435;86792;93875;103160;106656;121147;121109;117350;128791;157321
1101450;71097;78819;84439;91389;99549;106828;107301;120815;155434
1101468;77664;76783;79777;89278;99367;104550;116514;148823;246209
1101476;47727;52854;53386;58681;62900;60540;61854;66465;107030
1101484;70826;73856;78389;84807;87273;89557;89254;102279;130676
1101492;245948;266619;293297;318965;335648;352819;353339;397745;488043
1101500;157939;166738;180367;200123;232724;234736;236261;250586;332987
1101559;67681;72074;79344;82670;83325;89190;92344;97349;121301
1101609;128042;137147;153737;169717;185034;191947;191524;213106;257426
1101708;150563;171461;183100;196242;200082;217076;215416;227775;273501
