UF_CODE;CO_MUNICIPIO;TXT_FUN_TX_PROMOCAO_TOTAL;TXT_FUN_TX_REPETENCIA_TOTAL;TXT_FUN_TX_EVASAO_TOTAL;TDI_FUN_TX_DIST_IDADE_SERIE_TOTAL;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO1;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO2;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO3;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO4;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO5;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_ALTA;DSU_FUN_PERC_DOC_SUPERIOR_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_FUN_TX_APROVACAO_TOTAL;TXR_FUN_TX_REPROVACAO_TOTAL;TXR_FUN_TX_ABANDONO_TOTAL;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2017;PERCENTUAL_FAMILIAS_PBF_2017
11;1100015;88.3;8.1;3.0;19.9;58.1;0.0;22.2;2.1;17.6;12.1;12.2;82.8;42.9;20.0;28.6;8.5;0.0;0.0;93.0;5.6;1.4;44.6;12.8;11.8;23.7;5.2;1.9;2017;0;485374;0.06164
11;1100023;87.8;8.4;2.4;18.4;62.3;0.2;25.5;2.0;10.0;6.4;12.7;89.7;3.9;21.6;37.3;19.6;11.8;5.8;91.8;7.1;1.1;18.2;23.2;20.8;29.9;5.2;2.7;2017;0;2287910;0.03866
11;1100031;93.5;4.4;1.5;11.8;73.5;3.0;21.8;0.0;1.7;0.0;0.0;98.3;55.6;0.0;33.3;11.1;0.0;0.0;95.0;4.6;0.4;56.1;3.5;8.8;24.6;3.5;3.5;2017;0;138110;0.03438
11;1100049;93.1;4.3;2.2;12.0;62.0;2.5;19.0;3.3;13.2;8.8;3.5;85.7;6.6;32.8;34.4;23.0;0.0;3.2;96.1;3.3;0.6;18.6;19.7;38.8;18.4;2.8;1.7;2017;0;2082761;0.02804
11;1100056;90.0;7.0;2.2;15.1;65.0;1.2;27.7;1.4;4.7;6.7;0.0;95.0;25.0;31.3;25.0;18.7;0.0;0.0;93.3;5.9;0.8;49.6;13.0;20.9;8.7;4.3;3.5;2017;0;439245;0.03719
11;1100064;91.9;5.6;2.3;12.3;63.8;0.0;29.6;1.9;4.7;0.0;29.5;95.5;5.9;76.5;0.0;17.6;0.0;0.0;94.6;5.0;0.4;49.9;12.2;13.5;21.2;2.6;0.6;2017;0;328377;0.02236
11;1100072;87.7;7.5;4.4;21.3;55.1;1.5;32.7;0.0;10.7;11.1;0.0;90.1;10.0;40.0;40.0;10.0;0.0;0.0;91.4;6.8;1.8;51.5;13.2;14.7;13.2;5.9;1.5;2017;0;332804;0.05717
11;1100080;83.9;12.6;2.8;26.4;42.7;1.1;35.0;2.0;19.2;6.7;0.0;80.6;0.0;64.3;7.1;21.4;7.2;0.0;85.8;11.8;2.4;43.7;19.5;18.0;6.3;10.2;2.3;2017;0;212879;0.09902
11;1100098;93.1;4.7;2.1;15.0;62.4;0.0;21.9;4.5;11.2;3.8;3.9;90.4;22.2;18.5;44.4;14.9;0.0;0.0;94.5;4.5;1.0;24.3;20.9;27.4;17.9;6.5;3.0;2017;0;566361;0.04363
11;1100106;85.7;8.8;4.0;26.2;41.2;1.1;25.2;2.1;30.4;1.6;27.0;70.5;36.8;10.3;41.2;5.9;4.4;1.4;90.7;7.4;1.9;25.1;15.3;39.0;14.5;3.2;2.9;2017;0;775195;0.06451
