UF_CODE;CO_MUNICIPIO;TXT_MED_TX_PROMOCAO_TOTAL;TXT_MED_TX_PROMOCAO_PRIMEIRO;TXT_MED_TX_PROMOCAO_SEGUNDO;TXT_MED_TX_PROMOCAO_TERCEIRO;TXT_MED_TX_REPETENCIA_TOTAL;TXT_MED_TX_REPETENCIA_PRIMEIRO;TXT_MED_TX_REPETENCIA_SEGUNDO;TXT_MED_TX_REPETENCIA_TERCEIRO;TXT_MED_TX_EVASAO_TOTAL;TXT_MED_TX_EVASAO_PRIMEIRO;TXT_MED_TX_EVASAO_SEGUNDO;TXT_MED_TX_EVASAO_TERCEIRO;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;TDI_MED_TX_DIST_IDADE_SERIE_PRIMEIRO;TDI_MED_TX_DIST_IDADE_SERIE_SEGUNDO;TDI_MED_TX_DIST_IDADE_SERIE_TERCEIRO;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;HAD_MED_MEDIA_TOTAL_HORAS_AULA;HAD_MED_MEDIA_PRIMEIRO_HORAS_AULA;HAD_MED_MEDIA_SEGUNDO_HORAS_AULA;HAD_MED_MEDIA_TERCEIRO_HORAS_AULA;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ATU_MULT_ETAPA_MEDIA_ALUNOS_SALA;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;ATU_MED_MEDIA_PRIMEIRO_ALUNOS_SALA;ATU_MED_MEDIA_SEGUNDO_ALUNOS_SALA;ATU_MED_MEDIA_TERCEIRO_ALUNOS_SALA;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_MED_TX_APROVACAO_TOTAL;TXR_MED_TX_APROVACAO_PRIMEIRO;TXR_MED_TX_APROVACAO_SEGUNDO;TXR_MED_TX_APROVACAO_TERCEIRO;TXR_MED_TX_REPROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_PRIMEIRO;TXR_MED_TX_REPROVACAO_SEGUNDO;TXR_MED_TX_REPROVACAO_TERCEIRO;TXR_MED_TX_ABANDONO_TOTAL;TXR_MED_TX_ABANDONO_PRIMEIRO;TXR_MED_TX_ABANDONO_SEGUNDO;TXR_MED_TX_ABANDONO_TERCEIRO;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2020;PERCENTUAL_FAMILIAS_PBF_2020
11;1100015;86.2;84.4;80.8;94.8;2.7;4.7;1.5;1.3;7.9;8.7;10.8;3.4;25.8;26.2;30.5;19.1;74.8;3.2;21.8;0.2;0.0;5.1;5.1;5.1;5.2;3.3;40.0;43.3;13.4;100.0;13.7;15.2;16.5;15.5;13.4;30.0;33.3;30.0;6.7;0.0;0.0;97.5;96.8;96.8;99.5;2.5;3.2;3.2;0.5;0.0;0.0;0.0;0.0;0.0;2.7;21.6;20.3;44.6;10.8;2020;1;570242;0.06705
11;1100023;77.9;72.3;75.2;90.2;7.6;11.4;6.6;2.5;9.6;11.8;10.4;5.2;27.5;33.4;26.9;17.9;68.2;1.6;25.6;4.4;0.2;6.0;6.1;6.0;5.8;2.1;16.7;70.8;10.4;99.3;26.3;26.0;28.6;26.5;21.8;6.1;20.4;44.9;16.3;8.2;4.1;89.9;87.9;91.8;90.5;9.0;10.3;7.7;8.7;1.1;1.8;0.5;0.8;0.3;13.5;35.0;30.5;17.3;3.4;2020;1;2817331;0.03596
11;1100031;89.2;94.3;80.9;89.8;3.0;1.4;6.4;2.0;4.8;2.9;6.4;6.1;16.2;18.3;15.4;13.6;54.5;0.0;45.5;0.0;0.0;4.0;4.0;4.0;4.0;22.2;0.0;55.6;22.2;100.0;;17.4;20.5;16.3;14.7;50.0;0.0;37.5;12.5;0.0;0.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;0.0;0.0;57.1;23.8;9.5;2020;1;167153;0.03604
11;1100049;87.7;83.0;87.5;93.9;4.3;7.4;3.6;1.0;5.6;6.8;6.3;3.3;18.1;20.3;19.4;13.1;62.7;3.1;24.6;8.8;0.8;6.5;7.0;6.1;6.3;8.5;23.7;54.2;13.6;99.4;8.2;25.1;26.5;24.8;23.6;4.8;33.3;36.5;20.6;3.2;1.6;92.4;91.3;92.6;93.9;1.6;2.4;1.2;0.9;6.0;6.3;6.2;5.2;0.6;12.0;41.1;29.8;11.0;5.5;2020;1;2518845;0.03646
11;1100056;86.4;81.7;87.4;95.7;2.6;4.7;0.0;1.1;6.6;9.9;5.0;1.1;22.2;27.1;22.0;13.2;52.6;0.0;41.1;6.3;0.0;5.1;5.2;5.2;4.6;7.1;21.4;71.5;0.0;100.0;;24.3;25.4;25.3;21.2;0.0;46.2;38.5;15.3;0.0;0.0;94.9;93.7;95.4;96.1;5.1;6.3;4.6;3.9;0.0;0.0;0.0;0.0;0.0;0.0;30.4;52.2;17.4;0.0;2020;1;600630;0.04388
11;1100064;90.2;91.4;89.2;89.6;3.2;1.9;2.9;5.6;4.5;4.7;4.7;4.0;15.1;15.7;16.1;13.3;60.6;2.8;28.3;8.3;0.0;7.2;7.3;7.0;7.3;6.7;13.3;80.0;0.0;100.0;12.0;23.6;23.1;23.6;24.2;0.0;71.4;7.1;21.5;0.0;0.0;93.0;88.3;95.5;96.1;6.4;11.7;4.5;2.3;0.6;0.0;0.0;1.6;1.2;30.3;38.2;24.7;3.4;2.2;2020;1;366922;0.02406
11;1100072;85.3;80.0;85.4;97.6;3.2;3.2;3.7;2.4;10.6;14.7;10.9;0.0;25.3;27.3;24.1;23.9;71.3;2.9;25.8;0.0;0.0;4.0;4.0;4.0;4.0;0.0;25.0;75.0;0.0;100.0;;19.2;24.8;19.8;14.2;0.0;50.0;37.5;12.5;0.0;0.0;99.6;100.0;98.7;100.0;0.4;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.1;68.6;14.3;2020;1;268353;0.05291
11;1100080;85.1;81.9;82.9;94.6;3.6;5.3;2.6;0.9;5.9;7.4;5.1;3.6;30.8;33.5;32.5;21.4;52.4;6.8;30.3;10.5;0.0;4.8;4.8;4.8;4.8;6.7;20.0;66.7;6.6;100.0;;25.2;28.8;24.6;20.6;6.7;53.3;20.0;13.3;6.7;0.0;84.4;80.7;87.3;87.5;15.0;18.8;11.6;12.5;0.6;0.5;1.1;0.0;0.0;1.9;1.9;24.5;56.6;15.1;2020;1;261944;0.09161
11;1100098;88.5;84.5;84.9;98.3;2.3;4.2;2.1;0.0;6.7;9.2;9.2;0.3;18.5;19.7;21.9;12.2;70.2;1.9;27.9;0.0;0.0;6.3;6.2;6.5;6.0;12.5;29.2;37.5;20.8;100.0;14.1;22.3;23.5;22.8;19.9;13.0;30.4;43.5;13.1;0.0;0.0;99.5;99.1;99.7;100.0;0.0;0.0;0.0;0.0;0.5;0.9;0.3;0.0;0.0;9.3;26.3;28.9;31.6;3.9;2020;1;666321;0.04771
11;1100106;80.5;75.0;83.0;89.3;5.6;8.3;4.9;0.9;8.0;7.9;7.8;8.4;35.7;42.0;33.9;22.3;49.4;2.6;47.0;1.0;0.0;6.5;6.1;6.7;6.9;0.0;29.1;54.5;16.4;100.0;10.9;28.5;31.2;28.7;23.1;26.7;20.0;41.7;6.7;3.3;1.6;93.0;90.2;96.1;95.3;4.6;6.0;3.2;2.9;2.4;3.8;0.7;1.8;4.2;11.4;30.0;27.9;18.6;7.9;2020;1;984614;0.0714
11;1100114;86.0;82.7;83.5;94.8;3.6;5.6;2.7;1.2;7.0;8.4;8.5;2.6;21.6;24.2;24.2;13.8;71.7;0.7;27.3;0.2;0.1;5.1;5.0;5.1;5.1;8.3;55.6;36.1;0.0;98.3;3.0;24.1;25.0;25.0;22.3;5.1;43.6;20.5;25.6;2.6;2.6;95.3;94.9;95.3;96.0;3.6;4.3;3.2;2.9;1.1;0.8;1.5;1.1;0.5;10.4;22.3;37.3;23.3;6.2;2020;1;1665151;0.04039
11;1100122;82.0;77.9;79.3;92.8;6.5;9.9;5.9;1.5;7.3;7.9;9.0;4.0;22.7;26.9;22.7;16.7;63.1;2.5;30.5;3.1;0.8;4.8;5.0;4.6;4.7;1.2;34.1;52.9;11.8;99.0;16.6;28.6;28.7;29.3;27.3;14.4;37.8;21.1;17.8;6.7;2.2;93.0;91.8;94.2;93.2;5.0;6.3;3.7;4.8;2.0;1.9;2.1;2.0;0.0;8.6;29.3;36.2;18.7;7.2;2020;1;4057176;0.01847
11;1100130;77.3;71.3;73.6;93.1;6.5;9.8;6.2;0.8;11.7;14.2;13.4;4.9;34.8;39.5;31.8;28.6;63.8;1.7;30.1;1.7;2.7;4.4;4.4;4.3;4.3;21.4;35.7;32.1;10.8;97.5;33.6;20.6;23.1;21.0;16.3;41.4;27.6;10.3;20.7;0.0;0.0;87.7;86.9;91.7;84.0;10.9;11.5;6.4;15.6;1.4;1.6;1.9;0.4;9.3;2.3;9.3;38.4;33.7;7.0;2020;1;700188;0.04475
11;1100148;84.7;79.8;85.3;93.1;4.4;7.7;2.8;0.8;7.4;9.7;6.4;4.6;19.0;19.4;21.7;15.6;67.2;0.0;32.8;0.0;0.0;4.7;4.7;4.7;4.9;9.1;9.1;63.6;18.2;100.0;;31.3;29.6;33.8;31.0;0.0;10.0;80.0;10.0;0.0;0.0;86.8;84.0;85.1;92.5;13.0;15.6;14.9;7.5;0.2;0.4;0.0;0.0;0.0;0.0;23.8;52.4;9.5;14.3;2020;1;403373;0.07023
11;1100155;72.8;67.4;68.7;91.4;9.2;14.7;6.0;1.2;11.2;12.7;13.2;4.5;23.0;31.1;20.9;11.7;63.8;3.9;31.2;1.1;0.0;4.8;4.8;4.8;4.7;0.0;32.0;64.0;4.0;100.0;23.0;28.4;29.4;28.6;26.6;20.0;44.0;20.0;12.0;4.0;0.0;89.6;87.3;92.6;88.9;10.4;12.7;7.4;11.1;0.0;0.0;0.0;0.0;1.1;1.3;20.0;38.8;28.8;10.0;2020;1;885132;0.03268
11;1100189;84.9;82.0;81.2;93.1;4.1;6.4;3.0;1.7;6.2;7.9;6.2;3.5;21.7;28.2;22.0;11.1;65.9;3.5;28.6;2.0;0.0;6.4;6.7;6.1;6.5;8.3;12.5;54.2;25.0;100.0;18.3;28.9;29.3;28.7;28.5;20.0;40.0;23.3;3.3;6.7;6.7;98.8;98.2;99.1;99.4;1.1;1.8;0.8;0.6;0.1;0.0;0.1;0.0;0.0;5.0;25.4;26.3;29.7;13.6;2020;1;1361160;0.02381
11;1100205;75.7;70.9;74.4;86.7;7.2;11.4;4.9;2.3;8.9;8.9;10.1;7.0;28.5;33.0;28.4;20.5;66.4;2.8;27.0;2.8;1.0;4.6;4.6;4.5;4.5;4.9;15.7;62.2;17.2;98.7;15.3;29.0;30.1;29.1;27.1;15.5;35.4;26.8;9.3;7.6;5.4;86.4;84.9;86.4;89.1;10.2;11.2;9.6;9.2;3.4;3.9;4.0;1.7;0.1;4.4;22.2;49.7;15.8;7.8;2020;1;19446740;0.04917
11;1100254;84.9;79.2;83.2;97.1;4.7;6.9;5.2;0.0;6.8;10.7;5.2;1.2;19.4;25.2;17.9;11.9;69.4;1.8;28.8;0.0;0.0;4.0;4.0;4.0;4.0;11.1;22.2;61.1;5.6;100.0;16.4;22.6;23.8;20.5;24.0;27.8;22.2;16.7;33.3;0.0;0.0;99.3;98.6;99.6;100.0;0.6;1.4;0.0;0.0;0.1;0.0;0.4;0.0;0.0;0.0;2.8;40.8;45.1;11.3;2020;1;464090;0.091
11;1100262;82.7;77.4;74.2;100.0;6.3;11.3;3.2;0.0;10.2;11.3;19.4;0.0;36.0;29.7;46.0;31.8;45.8;0.0;54.2;0.0;0.0;4.0;4.0;4.0;4.0;0.0;33.3;33.3;33.4;100.0;;27.2;32.0;25.0;22.0;0.0;33.3;0.0;66.7;0.0;0.0;98.4;96.7;100.0;100.0;0.0;0.0;0.0;0.0;1.6;3.3;0.0;0.0;0.0;0.0;0.0;77.8;22.2;0.0;2020;1;133557;0.04968
11;1100288;84.6;79.3;83.0;96.1;4.8;7.5;3.7;1.2;7.1;9.8;7.9;1.4;23.3;26.6;25.0;16.1;59.5;0.4;38.2;1.9;0.0;5.0;5.2;4.8;4.9;4.2;33.3;58.3;4.2;100.0;;24.9;24.2;25.5;25.2;0.0;37.0;25.9;25.9;11.2;0.0;98.1;97.5;98.1;98.8;1.6;2.1;1.3;1.2;0.3;0.4;0.6;0.0;0.0;13.1;20.0;48.8;15.6;2.5;2020;1;1403499;0.02628
11;1100296;79.8;72.1;81.0;94.3;6.0;11.7;2.4;0.0;8.1;10.8;8.3;1.9;20.5;26.5;22.9;7.4;60.2;4.1;32.2;3.5;0.0;4.3;4.3;4.3;4.3;0.0;0.0;100.0;0.0;100.0;;20.3;22.6;20.8;17.0;20.0;20.0;40.0;20.0;0.0;0.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.8;61.9;19.0;14.3;2020;1;156765;0.07014
