UF_CODE;CO_MUNICIPIO;TXT_FUN_TX_PROMOCAO_TOTAL;TXT_MED_TX_PROMOCAO_TOTAL;TXT_FUN_TX_REPETENCIA_TOTAL;TXT_MED_TX_REPETENCIA_TOTAL;TXT_FUN_TX_EVASAO_TOTAL;TXT_MED_TX_EVASAO_TOTAL;TDI_FUN_TX_DIST_IDADE_SERIE_TOTAL;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO1;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO2;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO3;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO4;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO5;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;HAD_FUN_MEDIA_TOTAL_HORAS_AULA;HAD_MED_MEDIA_TOTAL_HORAS_AULA;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;DSU_FUN_PERC_DOC_SUPERIOR_TOTAL;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ATU_FUN_MEDIA_TOTAL_ALUNOS_SALA;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_FUN_TX_APROVACAO_TOTAL;TXR_MED_TX_APROVACAO_TOTAL;TXR_FUN_TX_REPROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_TOTAL;TXR_FUN_TX_ABANDONO_TOTAL;TXR_MED_TX_ABANDONO_TOTAL;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2020;PERCENTUAL_FAMILIAS_PBF_2020
11;1100015;92.8;86.2;5.1;2.7;1.8;7.9;15.2;25.8;63.1;0.8;19.7;0.1;16.3;74.8;3.2;21.8;0.2;0.0;4.0;5.1;3.3;40.0;43.3;13.4;88.6;100.0;18.4;15.2;30.0;33.3;30.0;6.7;0.0;0.0;91.4;97.5;1.2;2.5;7.4;0.0;43.0;8.5;18.5;20.5;7.0;2.5;0.0;2.7;21.6;20.3;44.6;10.8;2020;1;570242;0.06705
11;1100023;89.7;77.9;7.8;7.6;1.6;9.6;14.1;27.5;71.4;2.5;23.3;1.3;1.5;68.2;1.6;25.6;4.4;0.2;4.5;6.0;2.1;16.7;70.8;10.4;98.3;99.3;24.4;26.0;6.1;20.4;44.9;16.3;8.2;4.1;98.5;89.9;0.9;9.0;0.6;1.1;20.7;17.7;28.4;25.9;6.3;1.0;0.3;13.5;35.0;30.5;17.3;3.4;2020;1;2817331;0.03596
11;1100031;91.9;89.2;6.8;3.0;1.1;4.8;10.8;16.2;72.6;0.0;27.4;0.0;0.0;54.5;0.0;45.5;0.0;0.0;4.0;4.0;22.2;0.0;55.6;22.2;100.0;100.0;18.0;17.4;50.0;0.0;37.5;12.5;0.0;0.0;99.8;100.0;0.2;0.0;0.0;0.0;54.0;1.9;3.8;26.9;9.6;3.8;9.6;0.0;0.0;57.1;23.8;9.5;2020;1;167153;0.03604
11;1100049;95.3;87.7;3.3;4.3;1.0;5.6;7.2;18.1;70.1;4.2;18.5;2.5;4.7;62.7;3.1;24.6;8.8;0.8;4.3;6.5;8.5;23.7;54.2;13.6;95.4;99.4;22.4;25.1;4.8;33.3;36.5;20.6;3.2;1.6;97.8;92.4;0.1;1.6;2.1;6.0;22.2;10.3;37.6;24.9;2.4;2.6;0.6;12.0;41.1;29.8;11.0;5.5;2020;1;2518845;0.03646
11;1100056;92.7;86.4;5.4;2.6;1.1;6.6;11.9;22.2;74.6;0.0;24.1;0.0;1.3;52.6;0.0;41.1;6.3;0.0;4.0;5.1;7.1;21.4;71.5;0.0;98.2;100.0;23.8;24.3;0.0;46.2;38.5;15.3;0.0;0.0;99.9;94.9;0.1;5.1;0.0;0.0;43.6;16.8;15.8;19.8;4.0;0.0;0.0;0.0;30.4;52.2;17.4;0.0;2020;1;600630;0.04388
11;1100064;91.8;90.2;5.3;3.2;1.9;4.5;8.7;15.1;66.7;5.0;24.4;2.3;1.6;60.6;2.8;28.3;8.3;0.0;4.0;7.2;6.7;13.3;80.0;0.0;98.5;100.0;18.7;23.6;0.0;71.4;7.1;21.5;0.0;0.0;99.6;93.0;0.4;6.4;0.0;0.6;47.5;12.7;17.5;17.5;3.2;1.6;1.2;30.3;38.2;24.7;3.4;2.2;2020;1;366922;0.02406
11;1100072;91.8;85.3;5.7;3.2;2.4;10.6;16.3;25.3;61.9;4.1;30.1;1.8;2.1;71.3;2.9;25.8;0.0;0.0;4.0;4.0;0.0;25.0;75.0;0.0;98.1;100.0;21.6;19.2;0.0;50.0;37.5;12.5;0.0;0.0;100.0;99.6;0.0;0.4;0.0;0.0;45.0;22.4;16.3;10.2;4.1;2.0;0.0;0.0;0.0;17.1;68.6;14.3;2020;1;268353;0.05291
11;1100080;83.8;85.1;12.9;3.6;2.2;5.9;22.8;30.8;44.0;3.2;28.8;3.9;20.1;52.4;6.8;30.3;10.5;0.0;4.2;4.8;6.7;20.0;66.7;6.6;81.3;100.0;21.1;25.2;6.7;53.3;20.0;13.3;6.7;0.0;90.4;84.4;5.3;15.0;4.3;0.6;40.3;15.6;18.3;13.8;9.2;2.8;0.0;1.9;1.9;24.5;56.6;15.1;2020;1;261944;0.09161
11;1100098;94.4;88.5;3.4;2.3;1.7;6.7;10.2;18.5;69.1;2.3;17.6;1.0;10.0;70.2;1.9;27.9;0.0;0.0;4.2;6.3;12.5;29.2;37.5;20.8;91.9;100.0;23.0;22.3;13.0;30.4;43.5;13.1;0.0;0.0;94.7;99.5;0.0;0.0;5.3;0.5;25.8;14.4;31.5;24.9;2.8;0.6;0.0;9.3;26.3;28.9;31.6;3.9;2020;1;666321;0.04771
11;1100106;89.1;80.5;7.2;5.6;3.0;8.0;19.1;35.7;45.7;0.8;18.7;6.6;28.2;49.4;2.6;47.0;1.0;0.0;4.1;6.5;0.0;29.1;54.5;16.4;74.8;100.0;19.5;28.5;26.7;20.0;41.7;6.7;3.3;1.6;80.1;93.0;0.4;4.6;19.5;2.4;34.7;15.5;31.6;14.1;2.2;1.9;4.2;11.4;30.0;27.9;18.6;7.9;2020;1;984614;0.0714
11;1100114;94.7;86.0;2.7;3.6;2.1;7.0;10.9;21.6;73.1;0.8;24.1;0.5;1.5;71.7;0.7;27.3;0.2;0.1;4.3;5.1;8.3;55.6;36.1;0.0;98.4;98.3;24.0;24.1;5.1;43.6;20.5;25.6;2.6;2.6;99.0;95.3;0.9;3.6;0.1;1.1;19.8;24.0;21.6;25.1;6.5;3.0;0.5;10.4;22.3;37.3;23.3;6.2;2020;1;1665151;0.04039
11;1100122;92.9;82.0;4.5;6.5;1.9;7.3;11.1;22.7;71.1;2.3;15.7;3.5;7.4;63.1;2.5;30.5;3.1;0.8;4.2;4.8;1.2;34.1;52.9;11.8;94.5;99.0;25.1;28.6;14.4;37.8;21.1;17.8;6.7;2.2;96.7;93.0;0.7;5.0;2.6;2.0;22.6;27.4;19.5;21.5;5.9;3.1;0.0;8.6;29.3;36.2;18.7;7.2;2020;1;4057176;0.01847
11;1100130;86.9;77.3;8.6;6.5;3.1;11.7;20.5;34.8;62.7;3.6;24.5;1.9;7.3;63.8;1.7;30.1;1.7;2.7;4.1;4.4;21.4;35.7;32.1;10.8;91.5;97.5;23.2;20.6;41.4;27.6;10.3;20.7;0.0;0.0;95.6;87.7;2.9;10.9;1.5;1.4;31.3;12.7;33.2;16.2;5.7;0.9;9.3;2.3;9.3;38.4;33.7;7.0;2020;1;700188;0.04475
11;1100148;96.8;84.7;1.5;4.4;1.4;7.4;8.9;19.0;72.2;1.6;23.6;1.8;0.8;67.2;0.0;32.8;0.0;0.0;4.3;4.7;9.1;9.1;63.6;18.2;99.2;100.0;21.2;31.3;0.0;10.0;80.0;10.0;0.0;0.0;100.0;86.8;0.0;13.0;0.0;0.2;35.6;9.3;24.3;21.5;6.5;2.8;0.0;0.0;23.8;52.4;9.5;14.3;2020;1;403373;0.07023
11;1100155;87.3;72.8;9.5;9.2;2.2;11.2;15.6;23.0;78.8;2.3;16.5;0.4;2.0;63.8;3.9;31.2;1.1;0.0;4.1;4.8;0.0;32.0;64.0;4.0;96.5;100.0;26.7;28.4;20.0;44.0;20.0;12.0;4.0;0.0;97.5;89.6;2.4;10.4;0.1;0.0;23.8;25.4;27.0;16.9;3.7;3.2;1.1;1.3;20.0;38.8;28.8;10.0;2020;1;885132;0.03268
11;1100189;93.0;84.9;4.9;4.1;1.2;6.2;11.2;21.7;67.0;4.4;24.2;1.8;2.6;65.9;3.5;28.6;2.0;0.0;4.3;6.4;8.3;12.5;54.2;25.0;96.4;100.0;25.0;28.9;20.0;40.0;23.3;3.3;6.7;6.7;99.6;98.8;0.3;1.1;0.1;0.1;22.8;25.3;21.3;20.0;5.3;5.3;0.0;5.0;25.4;26.3;29.7;13.6;2020;1;1361160;0.02381
11;1100205;89.8;75.7;6.3;7.2;2.5;8.9;16.1;28.5;75.4;2.9;13.8;2.6;5.3;66.4;2.8;27.0;2.8;1.0;4.3;4.6;4.9;15.7;62.2;17.2;94.8;98.7;23.8;29.0;15.5;35.4;26.8;9.3;7.6;5.4;96.9;86.4;1.5;10.2;1.6;3.4;23.1;12.6;28.5;26.5;5.8;3.5;0.1;4.4;22.2;49.7;15.8;7.8;2020;1;19446740;0.04917
11;1100254;91.3;84.9;5.9;4.7;1.9;6.8;11.3;19.4;64.7;3.8;25.4;3.7;2.4;69.4;1.8;28.8;0.0;0.0;4.1;4.0;11.1;22.2;61.1;5.6;97.6;100.0;20.0;22.6;27.8;22.2;16.7;33.3;0.0;0.0;99.7;99.3;0.0;0.6;0.3;0.1;44.3;11.5;11.5;23.1;6.4;3.2;0.0;0.0;2.8;40.8;45.1;11.3;2020;1;464090;0.091
11;1100262;83.8;82.7;11.4;6.3;3.7;10.2;24.3;36.0;62.4;1.7;12.0;0.0;23.9;45.8;0.0;54.2;0.0;0.0;4.0;4.0;0.0;33.3;33.3;33.4;81.1;100.0;20.6;27.2;0.0;33.3;0.0;66.7;0.0;0.0;96.5;98.4;3.2;0.0;0.3;1.6;44.2;2.9;17.6;26.5;8.8;0.0;0.0;0.0;0.0;77.8;22.2;0.0;2020;1;133557;0.04968
11;1100288;93.4;84.6;4.5;4.8;1.3;7.1;9.8;23.3;78.0;1.3;18.5;2.2;0.0;59.5;0.4;38.2;1.9;0.0;4.2;5.0;4.2;33.3;58.3;4.2;100.0;100.0;23.5;24.9;0.0;37.0;25.9;25.9;11.2;0.0;99.9;98.1;0.1;1.6;0.0;0.3;38.2;10.5;18.8;24.7;7.0;0.8;0.0;13.1;20.0;48.8;15.6;2.5;2020;1;1403499;0.02628
11;1100296;94.8;79.8;4.1;6.0;0.3;8.1;6.2;20.5;71.6;3.2;22.7;2.5;0.0;60.2;4.1;32.2;3.5;0.0;4.1;4.3;0.0;0.0;100.0;0.0;100.0;100.0;20.1;20.3;20.0;20.0;40.0;20.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;42.8;1.8;10.7;28.6;10.7;5.4;0.0;0.0;4.8;61.9;19.0;14.3;2020;1;156765;0.07014
11;1100304;92.0;74.2;5.6;11.8;1.4;8.4;9.9;23.9;73.8;3.8;20.4;1.1;0.9;65.4;2.1;26.7;5.5;0.3;4.3;4.6;9.3;16.7;59.3;14.7;98.8;99.1;25.5;27.7;8.8;45.6;19.3;19.3;7.0;0.0;98.4;83.0;1.1;15.1;0.5;1.9;24.0;16.7;36.5;17.1;4.6;1.1;0.4;13.8;34.3;28.1;18.6;4.8;2020;1;3152560;0.02753
11;1100320;91.3;85.2;6.9;2.8;1.3;7.0;9.1;19.5;70.2;1.2;28.6;0.0;0.0;77.4;0.9;21.7;0.0;0.0;4.0;4.0;0.0;37.5;56.3;6.2;100.0;100.0;20.0;29.4;5.9;17.6;64.7;11.8;0.0;0.0;99.9;99.4;0.0;0.0;0.1;0.6;8.6;7.2;50.4;28.8;4.3;0.7;0.0;0.0;9.8;31.7;46.3;12.2;2020;1;730643;0.03436
11;1100338;86.9;82.9;8.3;3.1;3.9;9.0;21.4;35.2;47.7;2.7;20.9;1.8;26.9;46.8;1.4;51.8;0.0;0.0;4.2;4.1;28.8;23.7;30.5;17.0;81.0;100.0;18.3;27.9;70.8;6.2;12.3;6.2;4.5;0.0;89.5;94.8;1.4;0.7;9.1;4.5;33.3;12.4;27.6;20.0;3.8;2.9;5.4;3.9;3.9;36.8;36.8;13.2;2020;1;601843;0.04364
11;1100346;91.8;76.5;5.6;7.1;1.8;8.8;14.4;24.9;56.2;2.4;37.7;1.4;2.3;26.5;9.3;64.2;0.0;0.0;4.2;3.9;6.7;26.7;60.0;6.6;94.7;100.0;17.9;23.7;14.3;42.9;28.6;14.2;0.0;0.0;99.6;91.6;0.3;8.4;0.1;0.0;41.5;16.4;23.4;14.8;3.1;0.8;0.0;0.0;9.5;71.4;14.3;4.8;2020;1;289497;0.08876
11;1100379;85.6;83.0;11.8;3.3;2.4;12.3;21.0;28.9;64.9;0.8;32.2;0.0;2.1;79.3;3.0;17.7;0.0;0.0;4.0;4.7;8.3;41.7;41.7;8.3;98.2;100.0;20.4;17.7;9.1;36.4;45.5;0.0;0.0;9.0;97.1;88.5;1.9;4.1;1.0;7.4;24.4;8.5;26.8;26.8;9.8;3.7;0.0;2.3;7.0;16.3;62.8;11.6;2020;1;324519;0.05817
11;1100403;83.5;71.9;11.8;7.7;3.4;13.2;19.5;34.1;61.7;0.6;32.1;2.5;3.1;46.6;0.0;51.3;0.0;2.1;4.0;3.7;0.0;72.7;27.3;0.0;97.5;96.2;19.7;31.4;0.0;18.2;63.6;0.0;18.2;0.0;95.3;98.2;4.7;1.8;0.0;0.0;28.5;21.1;18.3;21.1;9.2;1.8;0.0;3.9;3.8;50.0;34.6;7.7;2020;1;396387;0.0498
11;1100452;92.4;79.9;3.8;3.6;3.1;11.6;11.9;25.4;74.7;1.1;23.6;0.0;0.6;72.7;1.1;23.0;0.0;3.2;4.0;4.7;9.5;57.1;28.6;4.8;99.0;98.3;24.8;24.5;42.9;14.3;23.8;9.5;4.8;4.7;97.2;90.3;2.0;2.4;0.8;7.3;33.8;17.8;16.7;15.0;11.7;5.0;0.0;1.1;16.9;29.2;39.3;13.5;2020;1;781528;0.04924
11;1100502;94.0;90.0;4.4;4.7;0.8;4.0;14.9;24.6;68.7;0.0;29.8;0.0;1.5;54.9;0.7;44.4;0.0;0.0;4.1;6.5;0.0;37.5;62.5;0.0;98.5;100.0;20.9;23.3;0.0;62.5;12.5;25.0;0.0;0.0;100.0;97.8;0.0;1.5;0.0;0.7;39.0;6.3;12.5;37.5;3.1;1.6;0.0;3.2;15.9;31.7;39.7;9.5;2020;1;185088;0.07708
11;1100601;90.5;82.2;6.2;4.6;2.9;9.2;15.3;30.6;73.2;0.0;23.2;0.0;3.6;78.3;2.4;19.3;0.0;0.0;4.2;4.0;0.0;0.0;100.0;0.0;97.9;100.0;18.7;13.1;0.0;60.0;0.0;0.0;40.0;0.0;99.6;98.8;0.0;0.6;0.4;0.6;22.7;15.9;22.7;20.5;15.9;2.3;0.0;0.0;0.0;15.3;74.4;10.3;2020;1;169146;0.03844
11;1100700;82.7;79.9;10.7;3.6;4.4;12.3;21.0;37.0;75.5;0.0;23.3;0.0;1.2;71.9;2.5;25.6;0.0;0.0;4.1;4.0;0.0;37.5;62.5;0.0;98.8;100.0;20.7;20.7;25.0;37.5;25.0;0.0;12.5;0.0;94.7;82.6;2.6;6.7;2.7;10.7;34.6;2.5;22.2;25.9;12.3;2.5;0.0;2.1;2.2;15.2;69.6;10.9;2020;1;331894;0.03848
