UF_CODE;CO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;TXT_1_CAT1_CATFUN;TXT_1_CAT1_CATMED;TXT_1_CAT2_CATFUN;TXT_1_CAT2_CATMED;EVASAO_FUN;EVASAO_MED;TDI_FUN_CAT_0;TDI_FUN_AI_CAT_0;TDI_FUN_AF_CAT_0;TDI_FUN_01_CAT_0;TDI_FUN_02_CAT_0;TDI_FUN_03_CAT_0;TDI_FUN_04_CAT_0;TDI_FUN_05_CAT_0;TDI_FUN_06_CAT_0;TDI_FUN_07_CAT_0;TDI_FUN_08_CAT_0;TDI_FUN_09_CAT_0;TDI_MED_CAT_0;TDI_MED_01_CAT_0;TDI_MED_02_CAT_0;TDI_MED_03_CAT_0;IED_FUN_CAT_1;IED_FUN_CAT_2;IED_FUN_CAT_3;IED_FUN_CAT_4;IED_FUN_CAT_5;IED_FUN_CAT_6;IED_FUN_AI_CAT_1;IED_FUN_AI_CAT_2;IED_FUN_AI_CAT_3;IED_FUN_AI_CAT_4;IED_FUN_AI_CAT_5;IED_FUN_AI_CAT_6;IED_FUN_AF_CAT_1;IED_FUN_AF_CAT_2;IED_FUN_AF_CAT_3;IED_FUN_AF_CAT_4;IED_FUN_AF_CAT_5;IED_FUN_AF_CAT_6;IED_MED_CAT_1;IED_MED_CAT_2;IED_MED_CAT_3;IED_MED_CAT_4;IED_MED_CAT_5;IED_MED_CAT_6;TX_1_CAT_FUN;TX_1_CAT_MED;TX_2_CAT_FUN;TX_2_CAT_MED;TX_3_CAT_FUN;TX_3_CAT_MED;TNR_4_CAT_FUN;TNR_4_CAT_MED;ATU_FUN_CAT_0;ATU_MED_CAT_0;IRD_EDU_BAS_CAT_1;IRD_EDU_BAS_CAT_2;IRD_EDU_BAS_CAT_3;IRD_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_1;ICG_EDU_BAS_CAT_2;ICG_EDU_BAS_CAT_3;ICG_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_5;ICG_EDU_BAS_CAT_6;AFD_FUN_CAT_1;AFD_FUN_CAT_2;AFD_FUN_CAT_3;AFD_FUN_CAT_4;AFD_FUN_CAT_5;AFD_FUN_AI_CAT_1;AFD_FUN_AI_CAT_2;AFD_FUN_AI_CAT_3;AFD_FUN_AI_CAT_4;AFD_FUN_AI_CAT_5;AFD_FUN_AF_CAT_1;AFD_FUN_AF_CAT_2;AFD_FUN_AF_CAT_3;AFD_FUN_AF_CAT_4;AFD_FUN_AF_CAT_5;AFD_MED_CAT_1;AFD_MED_CAT_2;AFD_MED_CAT_3;AFD_MED_CAT_4;AFD_MED_CAT_5;pib_2021
35;3500105;Total;Total;99.7;95.8;0.1;1.4;0.2;0.6;3.1;1.9;4.5;0.5;0.8;1.4;3.3;3.2;2.3;5.5;5.1;5.0;6.9;9.0;6.0;5.6;27.6;7.6;30.7;26.5;5.5;2.1;47.8;3.7;25.0;19.1;3.7;0.7;0.7;9.7;37.3;39.6;9.0;3.7;0.7;10.2;26.1;49.0;10.2;3.8;99.5;99.0;0.2;0.5;0.3;0.5;0.4;1.1;23.4;30.7;7.4;29.6;40.7;22.3;38.5;26.9;11.5;23.1;0.0;0.0;81.1;1.0;16.0;0.0;1.9;85.9;0.6;11.3;0.0;2.2;72.4;1.7;24.5;0.0;1.4;63.4;1.5;34.2;0.5;0.4;1370866
35;3500105;Total;Pública;99.6;95.0;0.1;1.6;0.2;0.7;4.2;2.4;6.3;0.4;0.8;1.2;4.9;4.4;3.4;8.2;6.7;6.9;8.0;10.8;7.0;6.0;35.0;7.0;22.3;29.3;4.5;1.9;69.6;1.3;11.4;13.9;3.8;0.0;0.0;11.9;31.0;46.4;7.1;3.6;0.8;5.0;24.8;56.2;9.1;4.1;99.5;98.7;0.0;0.6;0.5;0.7;0.5;1.1;23.7;31.0;5.0;35.0;45.0;15.0;45.0;30.0;5.0;20.0;0.0;0.0;87.5;0.5;12.0;0.0;0.0;92.9;0.0;7.1;0.0;0.0;77.7;1.5;20.8;0.0;0.0;61.9;0.6;37.5;0.0;0.0;1370866
35;3500105;Total;Privada;99.8;99.2;0.1;0.4;0.1;0.4;1.0;0.8;1.1;0.9;0.9;1.8;0.0;0.7;0.6;0.6;2.4;0.8;1.9;0.0;1.2;4.3;12.5;8.0;47.7;22.7;6.8;2.3;16.4;6.6;47.5;24.6;3.3;1.6;1.9;5.8;46.2;30.8;11.5;3.8;0.0;25.0;27.5;25.0;17.5;5.0;99.5;100.0;0.5;0.0;0.0;0.0;0.2;1.2;22.8;29.3;14.3;14.3;28.6;42.8;16.7;16.7;33.3;33.3;0.0;0.0;72.6;1.6;21.3;0.0;4.5;76.6;1.4;16.8;0.0;5.2;65.7;1.9;29.0;0.0;3.4;68.7;4.5;22.4;2.2;2.2;1370866
35;3500105;Urbana;Total;99.7;96.0;0.1;1.2;0.1;0.5;3.1;1.9;4.5;0.6;0.5;1.4;3.3;3.2;2.3;5.5;5.1;5.0;6.7;8.5;6.1;5.3;27.4;7.6;30.8;26.6;5.5;2.1;47.4;3.7;25.2;19.3;3.7;0.7;0.7;9.7;37.3;39.6;9.0;3.7;0.0;10.1;27.7;47.3;10.8;4.1;99.5;98.9;0.2;0.5;0.3;0.6;0.4;1.0;23.6;31.0;8.0;28.0;40.0;24.0;37.5;29.2;8.3;25.0;0.0;0.0;80.9;1.0;16.2;0.0;1.9;85.7;0.6;11.5;0.0;2.2;72.4;1.7;24.5;0.0;1.4;65.2;1.6;32.2;0.5;0.5;1370866
35;3500105;Rural;Total;83.3;91.9;0.0;5.4;16.7;2.7;11.1;11.1;;0.0;25.0;;;;;;;;11.3;18.5;3.3;13.0;20.0;0.0;0.0;60.0;20.0;0.0;20.0;0.0;0.0;60.0;20.0;0.0;;;;;;;5.8;5.9;5.9;64.7;5.9;11.8;100.0;100.0;0.0;0.0;0.0;0.0;0.0;2.6;4.5;26.7;0.0;50.0;50.0;0.0;50.0;0.0;50.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;;;;;;34.3;0.0;65.7;0.0;0.0;1370866
35;3500204;Total;Total;98.4;97.0;1.0;0.8;0.6;2.2;9.2;4.1;16.0;0.0;0.0;0.0;8.9;12.5;19.6;14.0;19.3;11.5;14.6;15.7;18.4;9.1;33.3;12.8;23.1;10.3;15.4;5.1;61.9;0.0;23.8;9.5;0.0;4.8;0.0;25.0;25.0;15.0;30.0;5.0;0.0;0.0;13.3;20.0;46.7;20.0;99.0;97.8;1.0;0.0;0.0;2.2;1.0;1.4;20.5;24.0;0.0;25.0;50.0;25.0;40.0;20.0;40.0;0.0;0.0;0.0;85.0;0.0;15.0;0.0;0.0;83.0;0.0;17.0;0.0;0.0;87.4;0.0;12.6;0.0;0.0;76.8;0.0;23.2;0.0;0.0;115490
35;3500204;Total;Pública;98.4;97.0;1.0;0.8;0.6;2.2;9.2;4.1;16.0;0.0;0.0;0.0;8.9;12.5;19.6;14.0;19.3;11.5;14.6;15.7;18.4;9.1;33.3;12.8;23.1;10.3;15.4;5.1;61.9;0.0;23.8;9.5;0.0;4.8;0.0;25.0;25.0;15.0;30.0;5.0;0.0;0.0;13.3;20.0;46.7;20.0;99.0;97.8;1.0;0.0;0.0;2.2;1.0;1.4;20.5;24.0;0.0;33.3;33.3;33.4;25.0;25.0;50.0;0.0;0.0;0.0;85.0;0.0;15.0;0.0;0.0;83.0;0.0;17.0;0.0;0.0;87.4;0.0;12.6;0.0;0.0;76.8;0.0;23.2;0.0;0.0;115490
35;3500204;Urbana;Total;98.4;97.0;1.0;0.8;0.6;2.2;9.2;4.1;16.0;0.0;0.0;0.0;8.9;12.5;19.6;14.0;19.3;11.5;14.6;15.7;18.4;9.1;33.3;12.8;23.1;10.3;15.4;5.1;61.9;0.0;23.8;9.5;0.0;4.8;0.0;25.0;25.0;15.0;30.0;5.0;0.0;0.0;13.3;20.0;46.7;20.0;99.0;97.8;1.0;0.0;0.0;2.2;1.0;1.4;20.5;24.0;0.0;25.0;50.0;25.0;40.0;20.0;40.0;0.0;0.0;0.0;85.0;0.0;15.0;0.0;0.0;83.0;0.0;17.0;0.0;0.0;87.4;0.0;12.6;0.0;0.0;76.8;0.0;23.2;0.0;0.0;115490
35;3500303;Total;Total;98.9;95.3;0.5;1.6;0.4;0.9;12.5;6.7;20.0;0.4;0.3;1.3;12.4;17.2;16.5;18.8;23.2;21.9;19.0;20.8;19.1;16.7;28.6;5.6;24.2;30.3;9.1;2.2;47.3;4.7;20.5;18.1;6.3;3.1;5.0;5.7;26.2;43.4;16.4;3.3;0.0;2.9;26.7;53.5;14.9;2.0;99.2;92.9;0.7;2.3;0.1;4.8;1.0;4.0;23.2;29.8;4.0;16.0;64.0;16.0;15.4;57.7;7.7;11.5;0.0;7.7;88.5;1.0;10.0;0.3;0.2;95.1;1.1;3.3;0.0;0.5;77.6;0.7;20.9;0.8;0.0;76.7;0.0;23.3;0.0;0.0;1314737
35;3500303;Total;Pública;98.8;95.2;0.6;1.5;0.5;0.9;13.4;7.1;21.7;0.5;0.3;1.4;13.0;18.1;17.9;20.6;24.8;24.1;19.4;21.0;19.3;17.5;27.9;4.5;21.7;33.3;10.1;2.5;47.8;4.4;19.5;17.7;7.1;3.5;1.1;4.1;21.6;49.5;19.6;4.1;0.0;2.2;22.2;56.7;16.7;2.2;99.2;92.7;0.6;2.4;0.2;4.9;1.1;4.1;24.0;31.7;4.8;19.0;57.1;19.1;13.6;63.6;0.0;13.6;0.0;9.2;91.8;0.4;7.5;0.0;0.3;95.9;0.6;3.0;0.0;0.5;84.0;0.0;16.0;0.0;0.0;76.8;0.0;23.2;0.0;0.0;1314737
