UF_CODE;CO_MUNICIPIO;TXT_MED_TX_PROMOCAO_TOTAL;TXT_MED_TX_PROMOCAO_PRIMEIRO;TXT_MED_TX_PROMOCAO_SEGUNDO;TXT_MED_TX_PROMOCAO_TERCEIRO;TXT_MED_TX_REPETENCIA_TOTAL;TXT_MED_TX_REPETENCIA_PRIMEIRO;TXT_MED_TX_REPETENCIA_SEGUNDO;TXT_MED_TX_REPETENCIA_TERCEIRO;TXT_MED_TX_EVASAO_TOTAL;TXT_MED_TX_EVASAO_PRIMEIRO;TXT_MED_TX_EVASAO_SEGUNDO;TXT_MED_TX_EVASAO_TERCEIRO;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;TDI_MED_TX_DIST_IDADE_SERIE_PRIMEIRO;TDI_MED_TX_DIST_IDADE_SERIE_SEGUNDO;TDI_MED_TX_DIST_IDADE_SERIE_TERCEIRO;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;HAD_MED_MEDIA_TOTAL_HORAS_AULA;HAD_MED_MEDIA_PRIMEIRO_HORAS_AULA;HAD_MED_MEDIA_SEGUNDO_HORAS_AULA;HAD_MED_MEDIA_TERCEIRO_HORAS_AULA;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ATU_MULT_ETAPA_MEDIA_ALUNOS_SALA;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;ATU_MED_MEDIA_PRIMEIRO_ALUNOS_SALA;ATU_MED_MEDIA_SEGUNDO_ALUNOS_SALA;ATU_MED_MEDIA_TERCEIRO_ALUNOS_SALA;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_MED_TX_APROVACAO_TOTAL;TXR_MED_TX_APROVACAO_PRIMEIRO;TXR_MED_TX_APROVACAO_SEGUNDO;TXR_MED_TX_APROVACAO_TERCEIRO;TXR_MED_TX_REPROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_PRIMEIRO;TXR_MED_TX_REPROVACAO_SEGUNDO;TXR_MED_TX_REPROVACAO_TERCEIRO;TXR_MED_TX_ABANDONO_TOTAL;TXR_MED_TX_ABANDONO_PRIMEIRO;TXR_MED_TX_ABANDONO_SEGUNDO;TXR_MED_TX_ABANDONO_TERCEIRO;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2021
11;1100015;93.3;91.6;90.5;99.5;1.9;2.5;2.8;0.0;3.5;5.0;4.2;0.5;25.6;23.3;26.9;27.4;79.8;3.1;17.1;0.0;0.0;5.1;5.2;5.1;5.1;6.9;24.1;51.7;17.3;100.0;15.6;16.8;19.1;16.3;14.8;30.0;33.3;26.7;10.0;0.0;0.0;89.1;88.6;86.6;92.7;9.5;9.6;12.4;5.7;1.4;1.8;1.0;1.6;0.0;4.3;10.0;64.3;14.3;7.1;2021;1;734469;0.06848
11;1100023;85.3;83.2;85.3;89.2;8.0;9.5;6.2;7.9;3.5;4.1;4.0;1.9;27.1;24.4;32.1;24.5;71.3;1.3;22.0;4.2;1.2;6.1;6.3;6.0;6.1;2.1;12.5;70.8;14.6;97.9;11.3;27.9;29.2;28.1;26.3;6.1;20.4;44.9;16.3;10.2;2.1;88.4;87.3;87.7;90.5;7.3;9.1;6.0;6.6;4.3;3.6;6.3;2.9;0.0;16.0;30.1;40.9;10.5;2.5;2021;1;3209761;0.04132
11;1100049;89.9;88.2;88.8;93.8;5.0;6.5;4.5;3.5;3.5;4.0;4.2;1.9;18.8;20.3;18.8;17.0;65.9;2.9;24.3;5.2;1.7;6.8;6.8;7.1;6.4;6.8;11.9;62.7;18.6;98.2;9.3;26.7;27.8;26.8;25.2;4.8;30.6;33.9;27.4;0.0;3.3;93.9;94.5;92.7;94.8;3.1;3.3;3.9;1.7;3.0;2.2;3.4;3.5;0.3;10.9;40.7;39.1;4.5;4.5;2021;1;2792383;0.04228
11;1100064;89.7;85.2;89.6;95.2;5.6;11.3;2.7;1.9;3.3;2.4;5.8;1.6;16.4;18.9;16.4;13.0;58.8;6.0;29.4;5.8;0.0;7.2;7.4;7.1;7.1;6.7;13.3;60.0;20.0;100.0;12.5;23.1;23.6;22.6;23.0;0.0;64.3;14.3;21.4;0.0;0.0;93.4;89.9;97.0;94.1;5.7;9.8;3.0;3.1;0.9;0.3;0.0;2.8;0.0;23.0;44.0;25.3;2.2;5.5;2021;1;424807;0.02649
11;1100098;93.8;96.2;86.4;99.6;0.2;0.2;0.3;0.0;4.4;2.2;10.4;0.0;14.7;17.4;13.8;11.8;79.7;2.3;17.7;0.0;0.3;6.4;6.1;6.5;6.7;12.5;12.5;45.8;29.2;99.4;12.2;24.1;25.4;24.9;21.6;13.0;39.1;34.8;13.1;0.0;0.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.1;22.8;54.4;8.9;3.8;2021;1;773381;0.04968
11;1100106;74.3;69.1;71.0;93.9;18.9;21.3;23.6;3.8;2.3;2.1;3.1;1.4;39.2;37.9;45.7;31.9;61.1;1.3;35.9;1.7;0.0;6.4;6.6;6.2;6.4;3.7;20.4;53.7;22.2;99.4;11.6;29.3;30.3;28.4;29.1;22.8;24.6;40.4;8.8;1.8;1.6;82.8;85.9;79.3;83.4;7.6;7.3;8.3;7.1;9.6;6.8;12.4;9.5;4.0;19.3;20.0;48.0;6.7;2.0;2021;1;1054179;0.07688
11;1100114;89.9;90.1;86.0;95.3;3.5;5.0;3.2;1.5;3.8;3.3;5.4;2.4;22.2;25.3;22.8;18.0;74.7;0.9;23.7;0.2;0.5;5.1;5.0;5.0;5.1;16.2;37.8;46.0;0.0;98.5;15.0;27.0;27.3;28.0;25.7;5.1;46.2;20.5;25.6;0.0;2.6;93.9;93.9;93.1;94.9;3.8;4.6;4.7;1.7;2.3;1.5;2.2;3.4;0.5;11.9;24.2;48.5;10.3;4.6;2021;1;1765089;0.04197
11;1100122;89.2;86.5;89.7;92.5;5.2;7.6;3.8;3.4;3.1;3.5;3.2;2.2;22.1;22.2;24.1;19.8;63.4;2.6;29.2;3.5;1.3;4.9;4.9;5.0;4.5;1.2;24.7;63.5;10.6;98.4;14.9;29.3;30.6;28.2;28.8;14.4;35.6;25.6;15.6;6.7;2.1;91.5;91.1;90.4;93.1;6.9;7.7;7.6;5.0;1.6;1.2;2.0;1.9;0.3;9.5;28.6;41.4;14.1;6.1;2021;1;4231113;0.01989
11;1100130;86.3;85.9;88.7;83.6;6.5;7.2;6.2;5.3;5.3;5.6;2.1;9.0;36.1;38.5;36.9;31.0;70.1;1.8;24.9;1.6;1.6;4.5;4.6;4.5;4.3;10.7;39.3;35.7;14.3;98.3;13.2;23.2;25.2;23.9;19.8;36.7;30.0;10.0;23.3;0.0;0.0;87.9;87.2;86.0;91.8;4.3;5.4;4.1;2.8;7.8;7.4;9.9;5.4;5.4;1.1;3.3;76.1;9.8;4.3;2021;1;890320;0.04237
11;1100155;83.3;80.6;83.4;88.2;5.4;8.5;3.2;2.8;3.3;3.8;3.7;1.6;24.4;31.9;22.5;15.3;73.4;5.7;18.0;1.4;1.5;4.4;4.4;4.4;4.4;0.0;36.0;56.0;8.0;96.7;24.0;28.7;30.6;26.9;28.3;16.0;48.0;16.0;16.0;4.0;0.0;85.4;83.9;85.9;87.1;3.5;4.4;4.0;1.6;11.1;11.7;10.1;11.3;1.1;0.0;20.0;68.9;6.7;3.3;2021;1;985868;0.04071
