UF_CODE;CO_MUNICIPIO;TXT_MED_TX_PROMOCAO_TOTAL;TXT_MED_TX_REPETENCIA_TOTAL;TXT_MED_TX_EVASAO_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;HAD_MED_MEDIA_TOTAL_HORAS_AULA;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;TNR_MED_TX_N_RESP_TOTAL;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;TXR_MED_TX_APROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_TOTAL;TXR_MED_TX_ABANDONO_TOTAL;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ANO;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2021
11;1100015;93.3;1.9;3.5;30.0;33.3;26.7;10.0;0.0;0.0;16.8;5.1;25.6;1.1;79.8;3.1;17.1;0.0;0.0;0.0;4.3;10.0;64.3;14.3;7.1;6.9;24.1;51.7;17.3;89.1;9.5;1.4;100.0;2021;734469;0.06848
11;1100023;85.3;8.0;3.5;6.1;20.4;44.9;16.3;10.2;2.1;27.9;6.1;27.1;3.5;71.3;1.3;22.0;4.2;1.2;0.0;16.0;30.1;40.9;10.5;2.5;2.1;12.5;70.8;14.6;88.4;7.3;4.3;97.9;2021;3209761;0.04132
11;1100031;94.8;3.6;1.6;50.0;0.0;37.5;12.5;0.0;0.0;16.6;4.0;20.1;3.1;56.8;0.0;43.2;0.0;0.0;4.8;0.0;4.8;61.9;19.0;9.5;22.2;0.0;44.4;33.4;96.8;0.0;3.2;100.0;2021;238412;0.04362
11;1100049;89.9;5.0;3.5;4.8;30.6;33.9;27.4;0.0;3.3;26.7;6.8;18.8;2.6;65.9;2.9;24.3;5.2;1.7;0.3;10.9;40.7;39.1;4.5;4.5;6.8;11.9;62.7;18.6;93.9;3.1;3.0;98.2;2021;2792383;0.04228
11;1100056;86.9;6.7;3.3;7.1;42.9;42.9;7.1;0.0;0.0;27.1;5.5;24.1;4.4;65.4;0.0;34.6;0.0;0.0;26.3;0.0;21.1;31.6;10.5;10.5;7.1;14.3;71.4;7.2;83.5;7.4;9.1;97.4;2021;743037;0.04656
11;1100064;89.7;5.6;3.3;0.0;64.3;14.3;21.4;0.0;0.0;23.1;7.2;16.4;4.6;58.8;6.0;29.4;5.8;0.0;0.0;23.0;44.0;25.3;2.2;5.5;6.7;13.3;60.0;20.0;93.4;5.7;0.9;100.0;2021;424807;0.02649
11;1100072;89.0;1.2;9.4;0.0;37.5;50.0;12.5;0.0;0.0;20.5;4.0;21.1;5.8;76.5;2.6;20.9;0.0;0.0;0.0;0.0;0.0;76.3;18.4;5.3;0.0;37.5;50.0;12.5;95.2;3.9;0.9;100.0;2021;396728;0.05757
11;1100080;77.6;11.9;5.4;7.1;50.0;21.4;14.3;7.2;0.0;24.0;4.6;32.9;5.6;56.2;7.3;36.5;0.0;0.0;0.0;0.0;8.7;63.2;21.1;7.0;0.0;21.4;57.1;21.5;85.5;14.3;0.2;100.0;2021;316671;0.08709
11;1100098;93.8;0.2;4.4;13.0;39.1;34.8;13.1;0.0;0.0;24.1;6.4;14.7;0.8;79.7;2.3;17.7;0.0;0.3;0.0;10.1;22.8;54.4;8.9;3.8;12.5;12.5;45.8;29.2;100.0;0.0;0.0;99.4;2021;773381;0.04968
11;1100106;74.3;18.9;2.3;22.8;24.6;40.4;8.8;1.8;1.6;29.3;6.4;39.2;2.0;61.1;1.3;35.9;1.7;0.0;4.0;19.3;20.0;48.0;6.7;2.0;3.7;20.4;53.7;22.2;82.8;7.6;9.6;99.4;2021;1054179;0.07688
