UF_CODE;CO_MUNICIPIO;TXT_1_CAT1_CATFUN;TXT_1_CAT1_CATMED;TXT_1_CAT2_CATFUN;TXT_1_CAT2_CATMED;EVASAO_FUN;EVASAO_MED;TDI_FUN_CAT_0;TDI_FUN_AI_CAT_0;TDI_FUN_AF_CAT_0;TDI_FUN_01_CAT_0;TDI_FUN_02_CAT_0;TDI_FUN_03_CAT_0;TDI_FUN_04_CAT_0;TDI_FUN_05_CAT_0;TDI_FUN_06_CAT_0;TDI_FUN_07_CAT_0;TDI_FUN_08_CAT_0;TDI_FUN_09_CAT_0;TDI_MED_CAT_0;TDI_MED_01_CAT_0;TDI_MED_02_CAT_0;TDI_MED_03_CAT_0;TDI_MED_04_CAT_0;IED_FUN_CAT_1;IED_FUN_CAT_2;IED_FUN_CAT_3;IED_FUN_CAT_4;IED_FUN_CAT_5;IED_FUN_CAT_6;IED_FUN_AI_CAT_1;IED_FUN_AI_CAT_2;IED_FUN_AI_CAT_3;IED_FUN_AI_CAT_4;IED_FUN_AI_CAT_5;IED_FUN_AI_CAT_6;IED_FUN_AF_CAT_1;IED_FUN_AF_CAT_2;IED_FUN_AF_CAT_3;IED_FUN_AF_CAT_4;IED_FUN_AF_CAT_5;IED_FUN_AF_CAT_6;IED_MED_CAT_1;IED_MED_CAT_2;IED_MED_CAT_3;IED_MED_CAT_4;IED_MED_CAT_5;IED_MED_CAT_6;TX_1_CAT_FUN;TX_1_CAT_MED;TX_2_CAT_FUN;TX_2_CAT_MED;TX_3_CAT_FUN;TX_3_CAT_MED;TNR_4_CAT_FUN;TNR_4_CAT_MED;ATU_FUN_CAT_0;ATU_MED_CAT_0;IRD_EDU_BAS_CAT_1;IRD_EDU_BAS_CAT_2;IRD_EDU_BAS_CAT_3;IRD_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_1;ICG_EDU_BAS_CAT_2;ICG_EDU_BAS_CAT_3;ICG_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_5;ICG_EDU_BAS_CAT_6;AFD_FUN_CAT_1;AFD_FUN_CAT_2;AFD_FUN_CAT_3;AFD_FUN_CAT_4;AFD_FUN_CAT_5;AFD_FUN_AI_CAT_1;AFD_FUN_AI_CAT_2;AFD_FUN_AI_CAT_3;AFD_FUN_AI_CAT_4;AFD_FUN_AI_CAT_5;AFD_FUN_AF_CAT_1;AFD_FUN_AF_CAT_2;AFD_FUN_AF_CAT_3;AFD_FUN_AF_CAT_4;AFD_FUN_AF_CAT_5;AFD_MED_CAT_1;AFD_MED_CAT_2;AFD_MED_CAT_3;AFD_MED_CAT_4;AFD_MED_CAT_5;pib_2021
35;3500105;99.7;95.8;0.1;1.4;0.2;0.6;3.1;1.9;4.5;0.5;0.8;1.4;3.3;3.2;2.3;5.5;5.1;5.0;6.9;9.0;6.0;5.6;;27.6;7.6;30.7;26.5;5.5;2.1;47.8;3.7;25.0;19.1;3.7;0.7;0.7;9.7;37.3;39.6;9.0;3.7;0.7;10.2;26.1;49.0;10.2;3.8;99.5;99.0;0.2;0.5;0.3;0.5;0.4;1.1;23.4;30.7;7.4;29.6;40.7;22.3;38.5;26.9;11.5;23.1;0.0;0.0;81.1;1.0;16.0;0.0;1.9;85.9;0.6;11.3;0.0;2.2;72.4;1.7;24.5;0.0;1.4;63.4;1.5;34.2;0.5;0.4;1370866
35;3500204;98.4;97.0;1.0;0.8;0.6;2.2;9.2;4.1;16.0;0.0;0.0;0.0;8.9;12.5;19.6;14.0;19.3;11.5;14.6;15.7;18.4;9.1;;33.3;12.8;23.1;10.3;15.4;5.1;61.9;0.0;23.8;9.5;0.0;4.8;0.0;25.0;25.0;15.0;30.0;5.0;0.0;0.0;13.3;20.0;46.7;20.0;99.0;97.8;1.0;0.0;0.0;2.2;1.0;1.4;20.5;24.0;0.0;25.0;50.0;25.0;40.0;20.0;40.0;0.0;0.0;0.0;85.0;0.0;15.0;0.0;0.0;83.0;0.0;17.0;0.0;0.0;87.4;0.0;12.6;0.0;0.0;76.8;0.0;23.2;0.0;0.0;115490
35;3500303;98.9;95.3;0.5;1.6;0.4;0.9;12.5;6.7;20.0;0.4;0.3;1.3;12.4;17.2;16.5;18.8;23.2;21.9;19.0;20.8;19.1;16.7;;28.6;5.6;24.2;30.3;9.1;2.2;47.3;4.7;20.5;18.1;6.3;3.1;5.0;5.7;26.2;43.4;16.4;3.3;0.0;2.9;26.7;53.5;14.9;2.0;99.2;92.9;0.7;2.3;0.1;4.8;1.0;4.0;23.2;29.8;4.0;16.0;64.0;16.0;15.4;57.7;7.7;11.5;0.0;7.7;88.5;1.0;10.0;0.3;0.2;95.1;1.1;3.3;0.0;0.5;77.6;0.7;20.9;0.8;0.0;76.7;0.0;23.3;0.0;0.0;1314737
35;3500402;99.4;97.5;0.2;0.8;0.4;1.7;8.6;3.8;15.6;0.0;0.0;5.5;4.0;10.3;17.4;16.2;16.2;12.3;17.4;8.8;21.7;24.4;;26.9;15.4;9.6;38.5;5.8;3.8;44.4;11.1;5.6;22.2;11.1;5.6;16.3;16.2;10.8;43.2;8.1;5.4;0.0;23.1;0.0;76.9;0.0;0.0;97.1;84.5;1.8;9.2;1.1;6.3;0.8;0.7;21.0;28.8;12.5;25.0;62.5;0.0;62.5;25.0;0.0;12.5;0.0;0.0;68.5;0.0;31.5;0.0;0.0;83.3;0.0;16.7;0.0;0.0;56.4;0.0;43.6;0.0;0.0;86.7;0.0;13.3;0.0;0.0;209004
35;3500501;91.8;91.4;6.0;5.1;1.5;1.5;14.1;9.1;19.6;3.4;5.1;8.7;15.7;12.9;20.4;23.5;18.4;16.0;13.9;19.7;16.8;4.9;;18.5;8.6;29.8;31.1;6.0;6.0;27.2;5.2;28.6;31.2;1.3;6.5;7.3;9.3;28.9;38.1;8.2;8.2;3.7;5.7;41.5;30.2;5.7;13.2;94.3;96.6;5.6;2.4;0.1;1.0;1.0;3.3;20.4;23.2;5.6;38.9;38.9;16.6;63.2;15.8;5.3;5.3;5.3;5.1;72.3;1.4;25.9;0.0;0.4;79.6;0.7;18.7;0.0;1.0;64.9;2.0;33.1;0.0;0.0;85.7;0.0;14.3;0.0;0.0;585604
35;3500550;99.3;97.5;0.5;1.0;0.2;1.5;3.7;2.4;5.4;0.0;0.0;2.0;4.9;3.4;4.6;4.9;7.6;4.2;7.1;5.5;11.1;5.4;;16.0;6.5;19.4;45.2;8.1;4.8;31.2;0.0;21.9;40.6;6.3;0.0;0.0;13.3;16.7;50.0;10.0;10.0;0.0;0.0;15.4;61.5;15.4;7.7;99.6;95.8;0.2;0.0;0.2;4.2;1.3;0.0;22.2;26.3;0.0;0.0;75.0;25.0;25.0;25.0;0.0;25.0;25.0;0.0;78.0;0.0;22.0;0.0;0.0;76.0;0.0;24.0;0.0;0.0;81.3;0.0;18.7;0.0;0.0;84.2;0.0;15.8;0.0;0.0;217296
35;3500600;97.7;95.6;2.0;1.8;0.3;2.6;5.8;3.9;8.2;0.0;0.0;6.1;5.8;5.0;8.1;0.0;15.1;9.7;15.0;18.2;8.6;17.1;;6.7;24.4;37.8;17.8;8.9;4.4;11.2;22.2;37.0;22.2;7.4;0.0;0.0;26.4;36.8;15.8;10.5;10.5;0.0;77.8;0.0;11.1;11.1;0.0;97.9;100.0;2.1;0.0;0.0;0.0;0.8;4.9;19.9;30.0;0.0;33.3;66.7;0.0;50.0;50.0;0.0;0.0;0.0;0.0;87.0;0.0;13.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;71.9;0.0;28.1;0.0;0.0;83.3;0.0;16.7;0.0;0.0;147855
35;3500709;98.4;96.5;0.7;1.5;0.9;1.9;6.0;2.5;10.4;1.2;0.0;0.9;3.7;6.3;8.1;9.3;10.9;13.2;12.2;12.7;15.4;7.6;;20.8;14.8;28.0;30.1;5.7;0.6;39.3;20.2;16.8;19.1;4.0;0.6;0.6;8.3;38.1;42.3;10.1;0.6;1.1;4.4;34.4;46.3;11.9;1.9;98.2;91.4;0.4;0.0;1.4;8.6;0.8;1.6;25.7;27.2;0.0;44.8;51.7;3.5;20.7;44.8;10.3;20.7;3.5;0.0;85.6;0.7;12.2;0.3;1.2;87.6;1.1;9.6;0.0;1.7;81.2;0.0;17.9;0.9;0.0;73.1;0.0;26.9;0.0;0.0;2638623
35;3500758;99.3;99.6;0.0;0.4;0.6;0.0;8.6;7.3;10.3;0.0;4.7;3.7;6.4;18.6;9.2;4.9;9.9;16.7;15.2;10.3;10.3;23.0;;25.0;3.3;18.3;45.0;6.7;1.7;50.0;0.0;8.3;37.5;4.2;0.0;8.2;5.4;24.3;48.6;10.8;2.7;0.0;3.6;21.4;60.7;10.7;3.6;94.5;100.0;5.5;0.0;0.0;0.0;0.8;0.0;19.5;27.9;0.0;42.9;57.1;0.0;0.0;85.7;0.0;14.3;0.0;0.0;72.6;9.6;15.6;0.0;2.2;85.7;14.3;0.0;0.0;0.0;53.2;2.8;38.5;0.0;5.5;62.6;0.0;37.4;0.0;0.0;129390
35;3500808;98.4;95.0;1.3;2.5;0.3;2.5;4.3;1.3;7.9;2.6;0.0;4.3;0.0;0.0;7.0;4.5;2.6;15.7;15.7;10.9;23.1;16.3;;6.9;0.0;20.7;58.6;13.8;0.0;14.3;0.0;7.1;64.3;14.3;0.0;0.0;0.0;26.3;57.9;15.8;0.0;0.0;4.8;19.0;57.1;14.3;4.8;99.0;91.1;0.0;0.0;1.0;8.9;0.5;0.8;23.5;19.2;0.0;66.7;0.0;33.3;33.3;33.3;0.0;33.4;0.0;0.0;95.7;0.0;4.3;0.0;0.0;100.0;0.0;0.0;0.0;0.0;91.1;0.0;8.9;0.0;0.0;81.2;0.0;18.8;0.0;0.0;120355
