CO_MUNICIPIO;TXT_1_CAT1_CATMED;TXT_1_CAT2_CATMED;EVASAO_MED;TDI_MED_CAT_0;TDI_MED_01_CAT_0;TDI_MED_02_CAT_0;TDI_MED_03_CAT_0;IED_MED_CAT_1;IED_MED_CAT_2;IED_MED_CAT_3;IED_MED_CAT_4;IED_MED_CAT_5;IED_MED_CAT_6;TX_1_CAT_MED;TX_2_CAT_MED;TX_3_CAT_MED;TNR_4_CAT_MED;ATU_MED_CAT_0;IRD_EDU_BAS_CAT_1;IRD_EDU_BAS_CAT_2;IRD_EDU_BAS_CAT_3;IRD_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_1;ICG_EDU_BAS_CAT_2;ICG_EDU_BAS_CAT_3;ICG_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_5;ICG_EDU_BAS_CAT_6;AFD_MED_CAT_1;AFD_MED_CAT_2;AFD_MED_CAT_3;AFD_MED_CAT_4;AFD_MED_CAT_5;pib_2021
3500105;95.8;1.4;0.6;6.9;9.0;6.0;5.6;0.7;10.2;26.1;49.0;10.2;3.8;99.0;0.5;0.5;1.1;30.7;7.4;29.6;40.7;22.3;38.5;26.9;11.5;23.1;0.0;0.0;63.4;1.5;34.2;0.5;0.4;1370866
3500204;97.0;0.8;2.2;14.6;15.7;18.4;9.1;0.0;0.0;13.3;20.0;46.7;20.0;97.8;0.0;2.2;1.4;24.0;0.0;25.0;50.0;25.0;40.0;20.0;40.0;0.0;0.0;0.0;76.8;0.0;23.2;0.0;0.0;115490
3500303;95.3;1.6;0.9;19.0;20.8;19.1;16.7;0.0;2.9;26.7;53.5;14.9;2.0;92.9;2.3;4.8;4.0;29.8;4.0;16.0;64.0;16.0;15.4;57.7;7.7;11.5;0.0;7.7;76.7;0.0;23.3;0.0;0.0;1314737
3500402;97.5;0.8;1.7;17.4;8.8;21.7;24.4;0.0;23.1;0.0;76.9;0.0;0.0;84.5;9.2;6.3;0.7;28.8;12.5;25.0;62.5;0.0;62.5;25.0;0.0;12.5;0.0;0.0;86.7;0.0;13.3;0.0;0.0;209004
3500501;91.4;5.1;1.5;13.9;19.7;16.8;4.9;3.7;5.7;41.5;30.2;5.7;13.2;96.6;2.4;1.0;3.3;23.2;5.6;38.9;38.9;16.6;63.2;15.8;5.3;5.3;5.3;5.1;85.7;0.0;14.3;0.0;0.0;585604
3500550;97.5;1.0;1.5;7.1;5.5;11.1;5.4;0.0;0.0;15.4;61.5;15.4;7.7;95.8;0.0;4.2;0.0;26.3;0.0;0.0;75.0;25.0;25.0;25.0;0.0;25.0;25.0;0.0;84.2;0.0;15.8;0.0;0.0;217296
3500600;95.6;1.8;2.6;15.0;18.2;8.6;17.1;0.0;77.8;0.0;11.1;11.1;0.0;100.0;0.0;0.0;4.9;30.0;0.0;33.3;66.7;0.0;50.0;50.0;0.0;0.0;0.0;0.0;83.3;0.0;16.7;0.0;0.0;147855
3500709;96.5;1.5;1.9;12.2;12.7;15.4;7.6;1.1;4.4;34.4;46.3;11.9;1.9;91.4;0.0;8.6;1.6;27.2;0.0;44.8;51.7;3.5;20.7;44.8;10.3;20.7;3.5;0.0;73.1;0.0;26.9;0.0;0.0;2638623
3500758;99.6;0.4;0.0;15.2;10.3;10.3;23.0;0.0;3.6;21.4;60.7;10.7;3.6;100.0;0.0;0.0;0.0;27.9;0.0;42.9;57.1;0.0;0.0;85.7;0.0;14.3;0.0;0.0;62.6;0.0;37.4;0.0;0.0;129390
3500808;95.0;2.5;2.5;15.7;10.9;23.1;16.3;0.0;4.8;19.0;57.1;14.3;4.8;91.1;0.0;8.9;0.8;19.2;0.0;66.7;0.0;33.3;33.3;33.3;0.0;33.4;0.0;0.0;81.2;0.0;18.8;0.0;0.0;120355
3500907;95.9;1.6;1.6;9.6;9.8;10.0;9.1;0.0;0.0;100.0;0.0;0.0;0.0;100.0;0.0;0.0;3.5;38.0;0.0;50.0;50.0;0.0;25.0;75.0;0.0;0.0;0.0;0.0;75.0;0.0;25.0;0.0;0.0;112274
3501004;96.5;0.0;3.1;10.6;11.1;8.2;12.6;0.0;3.4;23.3;65.0;5.0;3.3;85.1;14.9;0.0;0.6;26.3;14.3;57.1;14.3;14.3;50.0;14.3;7.1;21.4;0.0;7.2;83.8;0.0;16.2;0.0;0.0;833396
3501103;96.9;0.0;3.1;14.3;8.3;18.2;16.7;0.0;0.0;38.1;47.6;4.8;9.5;100.0;0.0;0.0;1.0;17.5;0.0;33.3;66.7;0.0;25.0;50.0;0.0;25.0;0.0;0.0;90.0;0.0;10.0;0.0;0.0;113585
3501152;94.0;0.1;3.6;16.7;24.7;12.7;10.5;0.0;5.5;22.2;55.6;11.1;5.6;95.0;1.5;3.5;0.8;35.3;0.0;23.1;76.9;0.0;13.3;46.7;13.3;13.3;13.4;0.0;72.3;4.5;23.2;0.0;0.0;3982313
3501202;96.0;0.0;4.0;4.4;6.7;3.2;3.4;0.0;10.0;90.0;0.0;0.0;0.0;96.5;0.0;3.5;0.0;30.0;0.0;50.0;50.0;0.0;25.0;50.0;25.0;0.0;0.0;0.0;52.8;0.0;47.2;0.0;0.0;124351
3501301;96.2;1.4;1.7;14.1;18.7;13.5;9.1;0.0;3.8;30.4;39.2;19.0;7.6;95.4;3.3;1.3;0.6;31.5;5.3;42.1;42.1;10.5;5.3;47.4;31.6;15.7;0.0;0.0;81.5;0.0;18.5;0.0;0.0;709876
3501400;100.0;0.0;0.0;9.1;8.1;16.2;0.0;0.0;0.0;10.0;40.0;30.0;20.0;99.0;0.0;1.0;1.0;33.0;0.0;20.0;60.0;20.0;20.0;40.0;20.0;0.0;20.0;0.0;42.3;11.5;46.2;0.0;0.0;58586
3501509;100.0;0.0;0.0;5.0;7.3;3.1;2.9;0.0;0.0;7.7;61.5;15.4;15.4;100.0;0.0;0.0;2.4;30.3;0.0;50.0;50.0;0.0;25.0;50.0;0.0;0.0;25.0;0.0;66.7;8.3;25.0;0.0;0.0;58405
3501608;94.8;2.5;2.1;7.7;8.5;7.9;6.4;0.7;8.0;26.9;46.1;13.9;4.4;93.6;4.2;2.2;1.0;31.4;17.3;28.0;38.0;16.7;35.5;36.8;9.0;14.2;3.9;0.6;76.3;0.7;22.6;0.4;0.0;15217280
3501707;91.1;4.7;3.4;11.0;10.9;12.3;10.0;4.7;2.8;21.5;43.0;16.8;11.2;98.9;0.1;1.0;1.5;28.6;0.0;27.8;66.7;5.5;10.0;50.0;10.0;20.0;5.0;5.0;72.3;0.2;27.5;0.0;0.0;1230444
3501806;97.4;1.0;1.6;12.2;14.1;11.1;8.5;2.7;5.1;25.6;53.8;7.7;5.1;100.0;0.0;0.0;1.9;21.3;0.0;60.0;40.0;0.0;20.0;40.0;20.0;20.0;0.0;0.0;67.6;3.7;28.7;0.0;0.0;126802
3501905;95.4;1.7;2.0;11.6;13.0;12.2;9.2;0.3;3.8;24.0;47.3;16.6;8.0;96.9;2.4;0.7;0.8;27.1;3.7;40.7;44.4;11.2;21.7;40.0;8.3;21.7;8.3;0.0;79.6;0.5;19.2;0.2;0.5;5152156
3502002;94.6;0.0;1.8;11.2;14.7;16.0;0.0;0.0;22.2;0.0;55.6;0.0;22.2;100.0;0.0;0.0;1.8;23.2;33.3;0.0;33.3;33.4;0.0;33.3;66.7;0.0;0.0;0.0;73.2;0.0;26.8;0.0;0.0;208314
3502101;96.5;0.6;2.0;6.9;8.3;7.3;5.2;0.0;4.4;24.0;53.9;11.3;6.4;98.3;0.7;1.0;1.0;32.0;12.5;35.4;43.8;8.3;42.0;36.0;6.0;14.0;0.0;2.0;74.7;0.8;24.5;0.0;0.0;2845285
3502200;93.3;4.8;1.2;12.1;15.9;11.6;9.2;0.0;8.2;30.6;32.7;22.4;6.1;90.7;3.1;6.2;0.1;35.0;14.3;50.0;28.6;7.1;20.0;26.7;26.7;13.3;13.3;0.0;76.7;0.8;22.5;0.0;0.0;1474152
3502309;95.3;0.0;2.3;11.1;12.9;11.8;8.2;0.0;15.3;7.7;46.2;15.4;15.4;94.3;0.0;5.7;0.4;25.1;0.0;33.3;66.7;0.0;0.0;33.3;50.0;16.7;0.0;0.0;47.6;0.0;52.4;0.0;0.0;169558
3502408;89.5;8.4;2.1;11.1;13.6;10.0;8.0;0.0;4.6;13.6;63.6;9.1;9.1;88.9;3.3;7.8;3.2;24.8;25.0;50.0;25.0;0.0;50.0;25.0;25.0;0.0;0.0;0.0;81.3;0.0;18.7;0.0;0.0;105621
3502507;96.5;1.1;1.5;16.4;21.5;16.5;12.0;0.0;12.6;46.0;25.3;6.9;9.2;91.5;3.7;4.8;1.7;29.8;5.9;44.1;44.1;5.9;26.5;35.3;20.6;14.7;2.9;0.0;79.6;1.2;19.2;0.0;0.0;1041067
3502606;99.2;0.0;0.8;5.2;8.2;2.5;4.4;0.0;8.8;65.2;17.4;4.3;4.3;100.0;0.0;0.0;0.0;22.3;0.0;33.3;33.3;33.4;0.0;66.7;0.0;33.3;0.0;0.0;69.0;0.0;31.0;0.0;0.0;151540
3502705;94.9;1.5;3.4;6.8;8.2;5.6;6.8;1.6;7.8;21.1;39.8;22.7;7.0;99.4;0.2;0.4;1.4;26.9;15.4;61.5;19.2;3.9;7.4;48.1;11.1;18.5;3.7;11.2;64.0;0.7;35.3;0.0;0.0;897713
3502754;95.8;1.4;1.7;23.7;22.9;25.2;23.2;0.0;0.0;28.9;50.0;13.2;7.9;81.8;3.0;15.2;3.7;35.8;35.0;55.0;10.0;0.0;40.9;27.3;22.7;0.0;9.1;0.0;69.9;0.3;29.8;0.0;0.0;4814504
3502804;95.7;0.5;3.5;7.2;8.9;6.0;6.3;0.3;6.6;39.5;41.4;8.5;3.7;98.4;0.1;1.5;1.0;30.8;3.9;43.4;46.5;6.2;20.4;48.6;7.7;16.9;5.6;0.8;71.4;1.7;26.6;0.1;0.2;9017958
3502903;98.6;0.9;0.4;8.2;7.2;10.7;6.3;0.0;0.0;25.8;48.4;17.7;8.1;96.2;0.4;3.4;1.2;33.2;3.6;10.7;75.0;10.7;27.6;44.8;17.2;10.4;0.0;0.0;67.2;0.7;32.1;0.0;0.0;1205884
3503000;91.0;3.4;4.8;22.4;29.4;20.4;16.7;0.0;4.3;8.7;69.6;8.7;8.7;92.3;0.7;7.0;3.4;29.4;20.0;40.0;40.0;0.0;20.0;60.0;0.0;20.0;0.0;0.0;83.1;0.0;16.9;0.0;0.0;150277
3503109;89.9;9.5;0.6;15.0;8.2;11.7;23.2;0.0;4.8;23.8;57.1;4.8;9.5;87.9;0.0;12.1;0.9;30.0;20.0;20.0;60.0;0.0;20.0;60.0;0.0;20.0;0.0;0.0;66.7;0.0;33.3;0.0;0.0;194818
3503158;96.9;1.0;2.1;38.1;39.0;31.8;40.0;0.0;0.0;18.2;54.5;27.3;0.0;97.6;0.0;2.4;0.0;21.0;0.0;0.0;100.0;0.0;0.0;33.3;33.3;0.0;33.4;0.0;80.7;0.0;19.3;0.0;0.0;45568
3503208;97.2;0.9;1.3;8.7;7.8;9.7;8.5;0.1;8.2;36.3;40.8;10.5;4.1;98.0;0.8;1.2;0.8;32.0;3.6;43.8;41.6;11.0;21.9;47.1;14.2;12.9;1.9;2.0;77.1;1.1;21.2;0.0;0.6;11953237
3503307;94.0;1.4;3.4;10.5;12.0;11.9;7.3;0.0;6.3;40.1;38.3;8.8;6.5;94.7;0.3;5.0;1.6;32.3;7.7;43.6;41.0;7.7;15.9;55.7;11.4;12.5;3.4;1.1;74.3;1.9;23.8;0.0;0.0;6942567
3503356;97.5;2.5;0.0;3.6;0.0;11.8;0.0;0.0;15.8;52.6;26.3;0.0;5.3;100.0;0.0;0.0;0.0;11.2;33.3;0.0;0.0;66.7;0.0;66.7;0.0;33.3;0.0;0.0;46.6;0.0;36.2;0.0;17.2;62096
3503406;93.8;3.5;2.7;15.5;18.4;16.4;11.5;0.0;0.0;4.0;80.0;12.0;4.0;91.1;0.0;8.9;0.8;26.4;0.0;11.1;66.7;22.2;66.7;11.1;0.0;22.2;0.0;0.0;82.7;0.0;17.3;0.0;0.0;227083
3503505;94.9;1.4;3.7;21.3;14.5;17.1;35.1;0.0;20.0;20.0;40.0;0.0;20.0;94.4;0.0;5.6;0.0;21.2;0.0;40.0;60.0;0.0;20.0;40.0;40.0;0.0;0.0;0.0;84.7;0.0;15.3;0.0;0.0;58113
3503604;91.2;0.9;2.5;20.4;20.2;19.7;21.6;0.0;0.0;24.9;29.2;29.2;16.7;96.5;0.3;3.2;0.3;24.1;11.1;22.2;44.4;22.3;44.4;22.2;11.1;0.0;22.3;0.0;78.6;0.0;21.4;0.0;0.0;163060
3503703;93.7;0.5;3.9;7.2;10.3;10.4;1.3;3.4;0.0;3.3;50.0;20.0;23.3;100.0;0.0;0.0;2.2;24.7;0.0;60.0;40.0;0.0;0.0;80.0;0.0;0.0;20.0;0.0;64.8;0.0;35.2;0.0;0.0;1136911
3503802;95.6;0.3;3.2;13.7;16.7;12.4;11.3;0.0;3.9;18.1;58.3;11.8;7.9;95.3;0.1;4.6;1.3;33.8;17.6;58.8;20.6;3.0;16.2;54.1;8.1;13.5;5.4;2.7;68.8;2.5;26.6;0.5;1.6;1721737
3503901;95.2;2.6;1.5;9.0;9.9;9.6;7.3;1.2;4.1;23.6;47.2;17.8;6.1;95.3;1.5;3.2;0.6;30.5;6.0;38.8;50.7;4.5;11.0;53.4;13.7;15.1;2.7;4.1;77.7;2.4;19.7;0.0;0.2;8293370
3503950;100.0;0.0;0.0;2.0;4.8;0.0;0.0;15.0;0.0;60.0;20.0;5.0;0.0;100.0;0.0;0.0;0.0;17.0;0.0;100.0;0.0;0.0;0.0;50.0;0.0;50.0;0.0;0.0;68.6;0.0;31.4;0.0;0.0;39546
3504008;93.8;2.7;2.2;11.2;12.7;12.3;8.4;0.5;4.8;38.4;41.8;9.4;5.1;93.2;2.5;4.3;0.7;29.6;6.3;43.8;40.6;9.3;31.9;33.3;17.4;14.5;1.4;1.5;73.2;0.2;26.6;0.0;0.0;4082516
3504107;96.7;0.9;2.3;8.5;7.1;9.5;8.9;0.1;6.0;29.2;49.4;11.2;4.1;97.1;0.5;2.4;1.0;34.5;5.8;33.0;45.6;15.6;30.8;37.6;11.1;18.8;1.7;0.0;73.6;0.5;25.7;0.2;0.0;8361032
3504206;99.0;0.0;1.0;3.8;5.8;2.9;3.1;2.7;14.1;33.3;33.3;11.5;5.1;96.6;1.5;1.9;0.8;20.3;25.0;33.3;41.7;0.0;38.5;15.4;7.7;23.1;15.3;0.0;73.1;2.1;24.8;0.0;0.0;358544
3504305;94.7;1.5;3.8;11.2;15.6;6.4;12.1;3.0;12.5;18.8;59.4;6.3;0.0;94.9;3.6;1.5;0.7;14.4;0.0;12.5;37.5;50.0;12.5;25.0;12.5;25.0;25.0;0.0;58.6;0.0;25.9;3.4;12.1;376094
3504404;97.7;0.3;1.7;22.1;24.4;19.6;22.7;0.0;0.0;10.9;67.4;15.2;6.5;97.4;2.6;0.0;0.5;28.1;12.5;25.0;37.5;25.0;44.4;11.1;11.1;22.2;11.2;0.0;68.1;0.0;31.9;0.0;0.0;199389
3504503;90.9;2.8;5.4;8.6;9.8;8.7;6.7;0.6;14.7;34.7;37.0;10.1;2.9;93.3;2.0;4.7;0.5;32.9;1.4;52.9;41.4;4.3;22.7;37.3;18.7;14.7;5.3;1.3;73.8;1.6;24.1;0.5;0.0;3278922
3504602;95.1;0.3;4.6;15.1;19.0;16.0;9.9;0.0;0.0;34.8;50.0;10.9;4.3;96.6;0.0;3.4;3.2;33.2;20.0;30.0;50.0;0.0;33.3;25.0;16.7;16.7;8.3;0.0;57.1;0.0;42.9;0.0;0.0;551849
3504701;95.0;2.5;2.5;7.1;11.8;6.7;0.0;0.0;9.1;18.2;54.5;9.1;9.1;97.8;0.0;2.2;0.0;14.0;0.0;33.3;66.7;0.0;50.0;16.7;33.3;0.0;0.0;0.0;70.0;0.0;30.0;0.0;0.0;65400
3504800;98.6;0.5;0.9;8.6;9.1;13.1;4.8;0.0;4.4;13.0;69.6;4.3;8.7;99.2;0.0;0.8;0.8;30.5;0.0;66.7;33.3;0.0;25.0;50.0;0.0;25.0;0.0;0.0;77.1;0.0;22.9;0.0;0.0;278642
3504909;93.2;6.8;0.0;30.0;25.9;35.2;29.8;0.0;0.0;11.8;58.8;17.6;11.8;93.7;0.7;5.6;0.7;34.7;20.0;20.0;0.0;60.0;40.0;10.0;30.0;10.0;10.0;0.0;88.5;0.0;11.5;0.0;0.0;216018
3505005;95.0;2.9;2.1;8.4;2.9;10.0;10.6;0.0;0.0;0.0;64.3;35.7;0.0;98.4;1.6;0.0;4.7;26.2;0.0;40.0;20.0;40.0;33.3;33.3;0.0;16.7;16.7;0.0;91.4;0.0;8.6;0.0;0.0;74956
