"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"120001","ACRELÂNDIA","AC","2021","1794","","1794468","","1000,26",""
"120001","ACRELÂNDIA","AC","2013","1757","","3284816","","1869,56",""
"120001","ACRELÂNDIA","AC","2020","1785","","1125789,00","","630,69",""
"120001","ACRELÂNDIA","AC","2014","1823","","3948296","","2165,82",""
"120001","ACRELÂNDIA","AC","2019","1609","","4013237,00","","2494,24",""
"120001","ACRELÂNDIA","AC","2018","1855","","4629810","","2495,85",""
"120001","ACRELÂNDIA","AC","2015","1924","","4301872","","2235,90",""
"120001","ACRELÂNDIA","AC","2016","1789","","4359371,00","","2436,76",""
"120001","ACRELÂNDIA","AC","2017","1670","","4085844","","2446,61",""
"120005","ASSIS BRASIL","AC","2020","1413","","2009333,00","","1422,03",""
"120005","ASSIS BRASIL","AC","2018","1398","","4776154","","3416,42",""
"120005","ASSIS BRASIL","AC","2015","944","","3478290","","3684,63",""
"120005","ASSIS BRASIL","AC","2021","1406","","3681780","","2618,62",""
"120005","ASSIS BRASIL","AC","2013","967","","2775534","","2870,25",""
"120005","ASSIS BRASIL","AC","2016","1052","","3854550,00","","3664,02",""
"120005","ASSIS BRASIL","AC","2019","1416","","5297451,00","","3741,14",""
"120005","ASSIS BRASIL","AC","2017","1231","","4138812","","3362,15",""
"120005","ASSIS BRASIL","AC","2014","920","","3350868","","3642,25",""
"120010","BRASILÉIA","AC","2021","3280","","4078198","","1243,35",""
"120010","BRASILÉIA","AC","2020","3341","","2260327,00","","676,54",""
"120010","BRASILÉIA","AC","2013","3166","","5774764","","1823,99",""
"120010","BRASILÉIA","AC","2016","3591","","8334045,00","","2320,81",""
"120010","BRASILÉIA","AC","2018","3374","","7989292","","2367,90",""
"120010","BRASILÉIA","AC","2015","3388","","7474060","","2206,04",""
"120010","BRASILÉIA","AC","2017","3610","","8885514","","2461,36",""
"120010","BRASILÉIA","AC","2014","3219","","7190134","","2233,65",""
"120010","BRASILÉIA","AC","2019","3126","","7681260,00","","2457,22",""
"120013","BUJARI","AC","2019","1395","","3689534,00","","2644,83",""
"120013","BUJARI","AC","2021","1314","","1872127","","1424,75",""
"120013","BUJARI","AC","2017","1398","","3456819","","2472,69",""
"120013","BUJARI","AC","2020","1363","","1225115,00","","898,84",""
"120013","BUJARI","AC","2018","1473","","3462060","","2350,35",""
