Unnamed: 4;NU_ANO_CENSO;CO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0;EDU_BAS_CAT_5;EDU_BAS_CAT_6;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;NO_REGIAO;SG_UF;NO_MUNICIPIO;ED_BAS_CAT1;ED_BAS_CAT2;ED_BAS_CAT3;ED_BAS_CAT4;ED_BAS_CAT5;ED_BAS_CAT6;ED_BAS_CAT7;ED_BAS_CAT8;ED_BAS_CAT9
;2021;3500105;Total;Total;66,2;0,0;20,4;0,0;13,4;15,0;23,4;30,7;0,0;0,0;27,6;7,6;30,7;26,5;5,5;2,1;47,8;3,7;25,0;19,1;3,7;0,7;0,7;9,7;37,3;39,6;9,0;3,7;0,7;10,2;26,1;49,0;10,2;3,8;7,4;29,6;40,7;22,3;;;;;;;;;;;;
;2021;3500105;Urbana;Total;66,2;0,0;20,4;0,0;13,4;15,0;23,6;31,0;0,0;0,0;27,4;7,6;30,8;26,6;5,5;2,1;47,4;3,7;25,2;19,3;3,7;0,7;0,7;9,7;37,3;39,6;9,0;3,7;0,0;10,1;27,7;47,3;10,8;4,1;8,0;28,0;40,0;24,0;;;;;;;;;;;;
;2021;3500105;Rural;Total;--;--;--;--;--;--;4,5;26,7;0,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;--;--;--;--;--;--;5,8;5,9;5,9;64,7;5,9;11,8;0,0;50,0;50,0;0,0;;;;;;;;;;;;
;2021;3500105;Total;Estadual;--;--;--;--;--;--;33,1;31,0;0,0;0,0;0,0;11,9;31,0;46,4;7,1;3,6;--;--;--;--;--;--;0,0;11,9;31,0;46,4;7,1;3,6;0,8;5,0;24,8;56,2;9,1;4,1;0,0;60,0;40,0;0,0;;;;;;;;;;;;
;2021;3500105;Urbana;Estadual;--;--;--;--;--;--;33,1;31,4;0,0;0,0;0,0;11,9;31,0;46,4;7,1;3,6;--;--;--;--;--;--;0,0;11,9;31,0;46,4;7,1;3,6;0,0;4,4;26,8;54,5;9,8;4,5;0,0;75,0;25,0;0,0;;;;;;;;;;;;
;2021;3500105;Rural;Estadual;--;--;--;--;--;--;--;26,7;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5,8;5,9;5,9;64,7;5,9;11,8;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500105;Total;Municipal;71,0;0,0;12,0;0,0;17,0;15,7;19,1;--;0,0;0,0;69,6;1,3;11,4;13,9;3,8;0,0;69,6;1,3;11,4;13,9;3,8;0,0;--;--;--;--;--;--;--;--;--;--;--;--;6,7;26,7;46,7;19,9;Sudeste;SP;Adamantina;160.0;100,0;3.072,64;3.923,56;4.328,11;5.420,78;1.527,91;34,2;5.060,32
;2021;3500105;Urbana;Municipal;71,0;0,0;12,0;0,0;17,0;15,7;19,5;--;0,0;0,0;69,3;1,3;11,5;14,1;3,8;0,0;69,3;1,3;11,5;14,1;3,8;0,0;--;--;--;--;--;--;--;--;--;--;--;--;7,1;21,4;50,0;21,5;;;;;;;;;;;;
;2021;3500105;Rural;Municipal;--;--;--;--;--;--;4,5;--;0,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500105;Total;Privada;54,8;0,0;40,5;0,0;4,7;12,2;22,8;29,3;0,0;0,0;12,5;8,0;47,7;22,7;6,8;2,3;16,4;6,6;47,5;24,6;3,3;1,6;1,9;5,8;46,2;30,8;11,5;3,8;0,0;25,0;27,5;25,0;17,5;5,0;14,3;14,3;28,6;42,8;;;;;;;;;;;;
;2021;3500105;Urbana;Privada;54,8;0,0;40,5;0,0;4,7;12,2;22,8;29,3;0,0;0,0;12,5;8,0;47,7;22,7;6,8;2,3;16,4;6,6;47,5;24,6;3,3;1,6;1,9;5,8;46,2;30,8;11,5;3,8;0,0;25,0;27,5;25,0;17,5;5,0;14,3;14,3;28,6;42,8;;;;;;;;;;;;
;2021;3500105;Total;Pública;71,0;0,0;12,0;0,0;17,0;15,7;23,7;31,0;0,0;0,0;35,0;7,0;22,3;29,3;4,5;1,9;69,6;1,3;11,4;13,9;3,8;0,0;0,0;11,9;31,0;46,4;7,1;3,6;0,8;5,0;24,8;56,2;9,1;4,1;5,0;35,0;45,0;15,0;;;;;;;;;;;;
;2021;3500105;Urbana;Pública;71,0;0,0;12,0;0,0;17,0;15,7;24,0;31,4;0,0;0,0;34,6;7,1;22,4;29,5;4,5;1,9;69,3;1,3;11,5;14,1;3,8;0,0;0,0;11,9;31,0;46,4;7,1;3,6;0,0;4,4;26,8;54,5;9,8;4,5;5,6;33,3;44,4;16,7;;;;;;;;;;;;
;2021;3500105;Rural;Pública;--;--;--;--;--;--;4,5;26,7;0,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;20,0;0,0;0,0;60,0;20,0;0,0;--;--;--;--;--;--;5,8;5,9;5,9;64,7;5,9;11,8;0,0;50,0;50,0;0,0;;;;;;;;;;;;
;2021;3500204;Total;Total;74,1;0,0;25,9;0,0;0,0;13,0;20,5;24,0;0,0;0,0;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;0,0;0,0;13,3;20,0;46,7;20,0;0,0;25,0;50,0;25,0;;;;;;;;;;;;
;2021;3500204;Urbana;Total;74,1;0,0;25,9;0,0;0,0;13,0;20,5;24,0;0,0;0,0;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;0,0;0,0;13,3;20,0;46,7;20,0;0,0;25,0;50,0;25,0;;;;;;;;;;;;
;2021;3500204;Total;Estadual;--;--;--;--;--;--;--;24,0;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;13,3;20,0;46,7;20,0;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500204;Urbana;Estadual;--;--;--;--;--;--;--;24,0;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;13,3;20,0;46,7;20,0;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500204;Total;Municipal;50,0;0,0;50,0;0,0;0,0;13,7;20,5;--;0,0;0,0;33,3;12,8;23,1;10,3;15,4;5,1;61,9;0,0;23,8;9,5;0,0;4,8;0,0;25,0;25,0;15,0;30,0;5,0;--;--;--;--;--;--;0,0;0,0;50,0;50,0;Sudeste;SP;Adolfo;46.0;100,0;1.847,59;2.040,82;2.424,57;2.986,05;807,10;34,7;2.792,49
