NU_ANO_CENSO;CO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;ED_INF_CAT_0;EDU_BAS_CAT_5;EDU_BAS_CAT_6;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;FUN_CAT_0;FUN_AI_CAT_0;FUN_AF_CAT_0;FUN_01_CAT_0;FUN_02_CAT_0;FUN_03_CAT_0;FUN_04_CAT_0;FUN_05_CAT_0;FUN_06_CAT_0;FUN_07_CAT_0;FUN_08_CAT_0;FUN_09_CAT_0;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0;4_CAT_FUN;4_CAT_MED;SG_UF;1_CAT_FUN;1_CAT_MED;2_CAT_FUN;2_CAT_MED;3_CAT_FUN;3_CAT_MED;NO_REGIAO;NO_UF;NO_MUNICIPIO;1_CAT1_CATFUN;1_CAT1_CATMED;1_CAT2_CATFUN;1_CAT2_CATMED;1_CAT3_CATFUN;1_CAT3_CATMED
2021;3500105;Total;Total;66.2;0.0;20.4;0.0;13.4;15.0;0.0;0.0;27.6;7.6;30.7;26.5;5.5;2.1;47.8;3.7;25.0;19.1;3.7;0.7;0.7;9.7;37.3;39.6;9.0;3.7;0.7;10.2;26.1;49.0;10.2;3.8;7.4;29.6;40.7;22.3;3.1;1.9;4.5;0.5;0.8;1.4;3.3;3.2;2.3;5.5;5.1;5.0;6.9;9.0;6.0;5.6;--;0.4;1.1;SP;99.5;99.0;0.2;0.5;0.3;0.5;Sudeste;SP;Adamantina;99.7;95.8;0.1;1.4;0.2;0.6
2021;3500204;Total;Total;74.1;0.0;25.9;0.0;0.0;13.0;0.0;0.0;33.3;12.8;23.1;10.3;15.4;5.1;61.9;0.0;23.8;9.5;0.0;4.8;0.0;25.0;25.0;15.0;30.0;5.0;0.0;0.0;13.3;20.0;46.7;20.0;0.0;25.0;50.0;25.0;9.2;4.1;16.0;0.0;0.0;0.0;8.9;12.5;19.6;14.0;19.3;11.5;14.6;15.7;18.4;9.1;--;1.0;1.4;SP;99.0;97.8;1.0;0.0;0.0;2.2;Sudeste;SP;Adolfo;98.4;97.0;1.0;0.8;0.6;2.2
2021;3500303;Total;Total;90.1;0.0;8.9;0.0;1.0;15.9;0.0;7.7;28.6;5.6;24.2;30.3;9.1;2.2;47.3;4.7;20.5;18.1;6.3;3.1;5.0;5.7;26.2;43.4;16.4;3.3;0.0;2.9;26.7;53.5;14.9;2.0;4.0;16.0;64.0;16.0;12.5;6.7;20.0;0.4;0.3;1.3;12.4;17.2;16.5;18.8;23.2;21.9;19.0;20.8;19.1;16.7;--;1.0;4.0;SP;99.2;92.9;0.7;2.3;0.1;4.8;Sudeste;SP;Aguaí;98.9;95.3;0.5;1.6;0.4;0.9
2021;3500402;Total;Total;54.8;0.0;41.9;0.0;3.3;17.2;0.0;0.0;26.9;15.4;9.6;38.5;5.8;3.8;44.4;11.1;5.6;22.2;11.1;5.6;16.3;16.2;10.8;43.2;8.1;5.4;0.0;23.1;0.0;76.9;0.0;0.0;12.5;25.0;62.5;0.0;8.6;3.8;15.6;0.0;0.0;5.5;4.0;10.3;17.4;16.2;16.2;12.3;17.4;8.8;21.7;24.4;--;0.8;0.7;SP;97.1;84.5;1.8;9.2;1.1;6.3;Sudeste;SP;Águas da Prata;99.4;97.5;0.2;0.8;0.4;1.7
2021;3500501;Total;Total;91.9;0.0;5.9;0.7;1.5;13.0;5.3;5.1;18.5;8.6;29.8;31.1;6.0;6.0;27.2;5.2;28.6;31.2;1.3;6.5;7.3;9.3;28.9;38.1;8.2;8.2;3.7;5.7;41.5;30.2;5.7;13.2;5.6;38.9;38.9;16.6;14.1;9.1;19.6;3.4;5.1;8.7;15.7;12.9;20.4;23.5;18.4;16.0;13.9;19.7;16.8;4.9;--;1.0;3.3;SP;94.3;96.6;5.6;2.4;0.1;1.0;Sudeste;SP;Águas de Lindóia;91.8;91.4;6.0;5.1;1.5;1.5
2021;3500550;Total;Total;44.6;0.0;55.4;0.0;0.0;12.3;25.0;0.0;16.0;6.5;19.4;45.2;8.1;4.8;31.2;0.0;21.9;40.6;6.3;0.0;0.0;13.3;16.7;50.0;10.0;10.0;0.0;0.0;15.4;61.5;15.4;7.7;0.0;0.0;75.0;25.0;3.7;2.4;5.4;0.0;0.0;2.0;4.9;3.4;4.6;4.9;7.6;4.2;7.1;5.5;11.1;5.4;--;1.3;0.0;SP;99.6;95.8;0.2;0.0;0.2;4.2;Sudeste;SP;Águas de Santa Bárbara;99.3;97.5;0.5;1.0;0.2;1.5
2021;3500600;Total;Total;22.6;0.0;61.3;16.1;0.0;12.5;0.0;0.0;6.7;24.4;37.8;17.8;8.9;4.4;11.2;22.2;37.0;22.2;7.4;0.0;0.0;26.4;36.8;15.8;10.5;10.5;0.0;77.8;0.0;11.1;11.1;0.0;0.0;33.3;66.7;0.0;5.8;3.9;8.2;0.0;0.0;6.1;5.8;5.0;8.1;0.0;15.1;9.7;15.0;18.2;8.6;17.1;--;0.8;4.9;SP;97.9;100.0;2.1;0.0;0.0;0.0;Sudeste;SP;Águas de São Pedro;97.7;95.6;2.0;1.8;0.3;2.6
2021;3500709;Total;Total;91.0;0.0;2.9;0.0;6.1;15.8;3.5;0.0;20.8;14.8;28.0;30.1;5.7;0.6;39.3;20.2;16.8;19.1;4.0;0.6;0.6;8.3;38.1;42.3;10.1;0.6;1.1;4.4;34.4;46.3;11.9;1.9;0.0;44.8;51.7;3.5;6.0;2.5;10.4;1.2;0.0;0.9;3.7;6.3;8.1;9.3;10.9;13.2;12.2;12.7;15.4;7.6;--;0.8;1.6;SP;98.2;91.4;0.4;0.0;1.4;8.6;Sudeste;SP;Agudos;98.4;96.5;0.7;1.5;0.9;1.9
2021;3500758;Total;Total;78.9;0.0;0.0;0.0;21.1;12.6;0.0;0.0;25.0;3.3;18.3;45.0;6.7;1.7;50.0;0.0;8.3;37.5;4.2;0.0;8.2;5.4;24.3;48.6;10.8;2.7;0.0;3.6;21.4;60.7;10.7;3.6;0.0;42.9;57.1;0.0;8.6;7.3;10.3;0.0;4.7;3.7;6.4;18.6;9.2;4.9;9.9;16.7;15.2;10.3;10.3;23.0;--;0.8;0.0;SP;94.5;100.0;5.5;0.0;0.0;0.0;Sudeste;SP;Alambari;99.3;99.6;0.0;0.4;0.6;0.0
2021;3500808;Total;Total;92.3;0.0;7.7;0.0;0.0;19.4;0.0;0.0;6.9;0.0;20.7;58.6;13.8;0.0;14.3;0.0;7.1;64.3;14.3;0.0;0.0;0.0;26.3;57.9;15.8;0.0;0.0;4.8;19.0;57.1;14.3;4.8;0.0;66.7;0.0;33.3;4.3;1.3;7.9;2.6;0.0;4.3;0.0;0.0;7.0;4.5;2.6;15.7;15.7;10.9;23.1;16.3;--;0.5;0.8;SP;99.0;91.1;0.0;0.0;1.0;8.9;Sudeste;SP;Alfredo Marcondes;98.4;95.0;1.3;2.5;0.3;2.5
